topology_std_betweenness_centrality,transError.std.std
0.132183205558,0.210038240515
0.145977793591,0.167837658831
0.131812264312,0.230568556601
0.148705407271,0.0888341978949
0.261716653955,0.0536568207547
0.230672661023,0.0531756045959
0.27136021012,0.0388866547706
0.116264239203,0.207135681695
0.155450271976,0.204774691356
0.20325722398,0.258492090208
0.21845761841,0.0429963941514
0.242817084083,0.0500640527086
0.237876959592,0.160692173355
0.236624366278,0.0364422115207
0.20130667256,0.115579807708
0.230386364579,0.0370592039719
0.239940440847,0.0491585794691
0.242061459138,0.0890782760547
0.196231027763,0.0933187599678
0.471404520791,0.138087316178
0.119075163898,0.283472780901
0.196185373283,0.155756377989
0.148639864971,0.431148459783
0.183840968349,0.301796672041
0.170326124423,0.15137538147
0.16600218961,1.02365065259
0.216662018134,0.167680135625
0.216313212501,0.390698889866
0.223296878269,0.145785206544
0.157060934161,0.23374692862
0.19446755538,0.0547581142166
0.127201781261,0.0669920319093
0.146143564105,0.391347667119
0.19657591917,0.258741211908
0.0895510295476,0.35561401166
0.147003696536,0.382246016935
0.141627662593,0.155138806672
0.124061682032,0.177945288381
0.253892063377,0.0530782981644
0.127870412379,0.150426578073
0.124401224416,0.21615872905
0.234536156628,0.0819226964463
0.119381307136,0.293317732168
0.220853420272,0.127652611947
0.212474501198,0.221674636893
0.154702887129,0.0853392946102
0.16435750178,0.357301613152
0.153122424652,0.453233740742
0.190652239415,0.179230997901
0.219441665803,0.236587447923
0.190940653956,0.110170635227
0.140028695806,0.172007018126
0.208781106226,0.0621497895481
0.207455882777,0.171951321611
0.217275124316,0.126944549297
0.179934545673,0.109794391941
0.187756497808,0.107098494917
0.179116363595,0.151433371273
0.206867780433,0.185990376251
0.203037036446,0.064450068138
0.19173543319,0.0692099506632
0.234266083914,0.075847820682
0.224004288455,0.115451416633
0.223461677044,0.129796983767
0.170907443183,0.239664370415
0.21043619028,0.105334107197
0.154019596736,0.149483092715
0.237450764678,0.0596299714663
0.15294041887,0.141523549212
0.124375787197,0.242795647909
0.231525430446,0.0743403423368
0.158996914607,0.355724934863
0.195480049413,0.0562958637779
0.177691147017,0.116143743091

5-Fold RMSE:,0.0688322986999,0.246754603244,0.0938613505707,0.0894997278759,0.0894997278759
Average 5-Fold RMSE:,0.127455494487

5-Fold rsquared:,0.271388531019,-0.158172269593,0.119092592612,0.0217427070983,0.0217427070983
Average 5-Fold rsquared:,0.0482364425901
