avgRoomArea,rotError.mean.mean
7977.65771283,0.00804769565217
21173.5347899,0.00518106666667
624.168754832,0.00745268421053
80.8425765625,0.00380332142857
1471.88578033,0.00530514285714
34.881097464,0.0113298387097
2549.50107571,0.0100377916667
1963.40434773,0.00991973913043
2780.84323949,0.00654347826087
1048.19797,0.00574740540541
2295.96385831,0.0063216
722.891074407,0.00609472
238.733433348,0.00695146666667
1918.774887,0.00522869444444
68.8216068272,0.00419643333333
6551.51671392,0.00586774285714
6943.03896001,0.00836370833333
1733.7689016,0.00957582352941
35.6467956188,0.0118060833333
151.362690548,0.00680830434783
99.3657311669,0.00944403448276
301.946595142,0.0102644642857
121.68372176,0.0246713571429
117.729480802,0.00765891666667
159.178043584,0.00877191176471
159.188760688,0.00719391304348
859.936380576,0.0116620333333
1770.82512649,0.0221704705882
91.9816248562,0.00773861904762
1183.72809077,0.0076692173913
1997.3848037,0.0124832272727
49524.5924242,0.0090522
469.164697244,0.0147335925926
943.370778453,0.0128114
42.0407507992,0.0131788235294
199.193698175,0.0105658125
788.58765325,0.00586613043478
453.458902845,0.01122375
1693.17206751,0.010821
5552.49887159,0.00736969230769
363.343164941,0.012007125
1289.36416825,0.00962695454545
2951.87623731,0.0105803333333
977.277898735,0.0089074
5426.47434551,0.0112168965517
2722.63884182,0.0137696
1209.03521613,0.0132841714286
16879.3303371,0.0079603902439
5157.30973711,0.0102650357143
15832.5442995,0.00904714285714
1087.11846417,0.0111931666667
1294.3483084,0.0101992222222
2704.27313193,0.00787177777778
4465.17802586,0.0083908
2060.46065176,0.0134036428571
6566.39327632,0.0111335666667
7841.40851591,0.00665304761905
1885.83138054,0.0100887741935
684.955365045,0.0131854666667
1404.46439982,0.0108286829268
17362.1361915,0.00526592307692
5741.66815356,0.0074369
202.653527556,0.01176809375
3232.68514713,0.00650085185185
654.353986368,0.0117556666667
1364.62420536,0.00662575862069
2100.80696472,0.0114198846154
114.824991211,0.00877604545455
1050.81706285,0.00717885185185
286.445046973,0.00882771428571
5620.85672307,0.00862746428571
1918.72960961,0.00584372
5899.38741064,0.0060295
37.5123784326,0.0138904166667
