voronoi_std_eigenvector_centrality,transError.numSamples.std
0.061688422116,4496.65449768
0.0628848579041,1068.57195671
0.0735873626594,257.853455343
0.122421627337,141.850142792
0.100010706049,182.929460449
0.0665140899304,2244.05747734
0.0499869171086,3935.77212331
0.0583048887054,2874.5710625
0.0772599538281,363.803157271
0.092355006202,147.306005198
0.0942375781658,2626.374729
0.107306514034,108.084781537
0.107707055274,1084.0791156
0.0906409739223,180.818284498
0.104297507721,273.731419461
0.115439442184,642.991734482
0.0650409083878,702.453163625
0.0583229555488,1510.28589149
0.0594842394656,14872.7918784
0.0788215763143,720.79837633
0.0480134270942,9225.92445392
0.0633224148962,3023.39259484
0.0695045297866,2651.41884337
0.0539293297254,24043.8800652
0.0795172592942,1616.41335473
0.0794001997108,8919.29941979
0.103601683322,1725.55951023
0.0621418524861,1863.36560045
0.0664741323194,624.17813537
0.0586477113224,620.469279434
0.0588844988291,857.003410118
0.0718074587629,5103.87888822
0.0433166383751,1966.19530209
0.0480981747221,1057.23261059
0.0571208297746,1483.83345876
0.0527148108833,3961.17166175
0.108039224395,165.786311893
0.0670363744304,2139.14201672
0.064562611159,1428.99660238
0.095602752891,968.189122803
0.0559140808964,5433.37490878
0.057696329759,3842.62601996
0.0863325328339,1817.05743137
0.0684244190537,691.528513091
0.0595416486538,8506.08116752
0.0570370754118,3722.68290681
0.0701124270704,1936.04140841
0.0655147896749,4393.41939757
0.0741480740915,1687.4634671
0.0598781678858,2072.14962693
0.0814587853061,383.599850828
0.0716576654504,786.667567909
0.0817727657324,1917.94562562
0.0609360751897,2174.75877982
0.0756944120562,748.389444073
0.0625710750276,2608.69783514
0.0778171239841,1354.24201138
0.071506866971,490.102011085
0.0754874067928,432.474999277
0.0768360610148,473.088895362
0.183177866246,597.094712473
0.0882860014571,1136.24840985
0.0623255741929,3100.93252085
0.0811425974437,803.781894131
0.063736397957,1700.53022844
0.0876523795269,316.936671506
0.0655788298353,2065.32399555
0.0585601819606,1024.40711512
0.0666331321729,350.849437575
0.046391247244,3504.51641908
0.0702204048489,2631.23148885
0.0626679442345,257.78020405
0.0665682795308,1433.91482635
0.0393741635952,4268.01882728

5-Fold RMSE:,2367.03388452,3249.22164064,1927.87370795,5581.70877313,5581.70877313
Average 5-Fold RMSE:,3050.33402567

5-Fold rsquared:,0.0287127981389,-0.406294589886,-0.725708134048,0.0289549160249,0.0289549160249
Average 5-Fold rsquared:,-0.152794810081
