edges,transError.std.mean
264,0.610577304348
288,0.3833542
178,0.198447578947
61,0.12269
92,0.153758035714
229,0.492268548387
404,0.531760416667
305,0.440496478261
171,0.30601326087
112,0.133319189189
104,0.194677542857
82,0.11035772
80,0.139761666667
114,0.178345722222
85,0.2198439
69,0.243437428571
234,0.273808166667
297,0.338521882353
285,0.61062825
159,0.359939652174
449,0.588087103448
257,0.628137071429
210,0.443055071429
337,0.999427916667
147,0.398797941176
155,0.690604043478
85,0.404276533333
253,0.493052294118
220,0.232889238095
292,0.221677130435
287,0.341540409091
189,0.65674012
562,0.423536259259
437,0.4465398
303,0.306929823529
356,0.480697125
75,0.108247869565
216,0.1948145
235,0.405104185185
104,0.273577115385
320,0.694026083333
321,0.480950272727
128,0.326498583333
211,0.4142652
279,0.500458896552
315,0.625794366667
193,0.379335257143
255,0.487031439024
175,0.309707785714
282,0.515047357143
142,0.218116833333
190,0.219631666667
146,0.310407555556
265,0.50208644
170,0.3024675
263,0.464581966667
166,0.379500214286
192,0.286365322581
172,0.206892133333
166,0.171382926829
24,0.324577269231
123,0.287927933333
253,0.50571615625
145,0.224714148148
246,0.500257916667
125,0.153626448276
232,0.398803653846
295,0.389266045455
214,0.203370592593
469,0.525956928571
195,0.304974964286
248,0.17280424
226,0.366907921053
651,0.741109166667
