voronoi_avg_eigenvector_centrality,transError.mean.mean
0.0100393514149,0.494097045455
0.0105135767838,0.347489733333
0.0172969873425,0.178033842105
0.0409830675628,0.111519571429
0.0273961100812,0.135674892857
0.00775762679381,0.500454518519
0.00574053025445,0.483538
0.00607997285304,0.314663090909
0.0128790084879,0.266804521739
0.017891627974,0.136014027027
0.0253591873935,0.1602634
0.0288269155167,0.11330008
0.0272922929883,0.120517266667
0.0219058444332,0.168670918919
0.0297781088292,0.1753349
0.0309749814202,0.250973828571
0.0124757824752,0.255138206897
0.00765770647817,0.275744352941
0.00766469551654,0.550894956522
0.0140504632514,0.348672047619
0.00385958981256,0.556707151515
0.00941447966977,0.560622653846
0.0120101922236,0.375646230769
0.00768026339488,0.493396230769
0.0286332432184,0.349249866667
0.0137519009375,0.511895521739
0.0321153716337,0.3828526
0.0117639351235,0.376691423077
0.0102993499896,0.2061935
0.00831972874981,0.234490727273
0.00813539809992,0.250467741935
0.0103366706799,0.63580396
0.00323439217057,0.298866
0.00533722428878,0.263492076923
0.00771167569822,0.279235933333
0.00884825240827,0.469986628571
0.0385411562993,0.0827919117647
0.0125414231222,0.224303125
0.013397586622,0.36068872
0.0195939573205,0.297397730769
0.00617839133906,0.687380423077
0.00780794728565,0.594765692308
0.0172809652214,0.276685391304
0.00757861267376,0.26799774359
0.00720516326982,0.394348115385
0.00830849954476,0.407328592593
0.0193714444817,0.301939870968
0.00863855085793,0.337777675676
0.0157857386681,0.301987178571
0.00954335364902,0.381142583333
0.0189069640465,0.2053401
0.0181565375695,0.16422708
0.0127487196601,0.273704222222
0.00943801405487,0.42013416
0.0123575452517,0.315128875
0.0092119796945,0.391206259259
0.0152906308222,0.319272923077
0.0110621006247,0.283932129032
0.0107519721017,0.19405875
0.0109688701912,0.191225219512
0.109089022235,0.287816464286
0.0164346608041,0.3031
0.00825178595754,0.4451378
0.0162847765897,0.236201074074
0.00727309513956,0.513622636364
0.0159238280504,0.154262137931
0.00813813888448,0.395215916667
0.0113764647388,0.2822633125
0.0145323256063,0.189719777778
0.00351487462818,0.513207166667
0.014957737734,0.240103076923
0.011737521707,0.17891308
0.00855386841229,0.367190842105
0.00348930382443,0.626637846154

5-Fold RMSE:,0.134875854536,0.109160739055,0.141475879013,0.242768792869,0.242768792869
Average 5-Fold RMSE:,0.150564329157

5-Fold rsquared:,0.174543927215,0.216065089433,-0.184793126295,0.123244205478,0.123244205478
Average 5-Fold rsquared:,-0.518419806339
