voronoi_nodes,rotError.mean.std
256,0.00314194787486
246,0.000529720236435
175,0.00274200687267
60,0.000868010041646
93,0.000988470995105
223,0.00396421114784
395,0.00305267434636
291,0.00323725683059
163,0.00162224709611
113,0.00122251686463
105,0.00481593435646
81,0.00139556645188
81,0.00295561424787
115,0.000970277349218
85,0.00087903722649
70,0.00234359606884
228,0.00196300121238
289,0.00475371639426
278,0.00347532974758
156,0.00196074084985
431,0.00290945535533
244,0.0031687609811
201,0.00691864528074
337,0.00176297243951
140,0.00288446249643
154,0.00193137045088
85,0.00350567334933
250,0.0101955133655
221,0.00189316660463
285,0.00409306542765
283,0.0021898122043
190,0.00268365863701
530,0.00416085194839
427,0.00454871802084
301,0.00641385431356
350,0.00357712486121
76,0.00149199568169
215,0.00373159733983
230,0.00227211409784
105,0.00284573492967
316,0.00416717640221
295,0.00429998156474
129,0.00262143524665
211,0.0015716058183
278,0.00295077555546
301,0.00347412036809
189,0.00393376291854
229,0.00199420279203
174,0.00317220657184
272,0.00212895982035
143,0.00283126115696
183,0.00452986510634
146,0.00169591170353
263,0.00167382816322
170,0.00380101619562
250,0.00567736820441
159,0.00200585427637
191,0.00290650421563
172,0.00604227499064
166,0.00633767378436
22,0.00090005519672
124,0.00296056940863
253,0.00379557550738
146,0.0018376947053
243,0.00342684333818
126,0.0018378217927
229,0.0038392713065
281,0.00265952798602
215,0.00290145318257
462,0.127889138475
194,0.00273066403156
246,0.00140772643706
222,0.00163527502515
640,0.00529794026363

5-Fold RMSE:,0.00490158078766,0.0319266724894,0.00448462218809,0.00322599082153,0.00322599082153
Average 5-Fold RMSE:,0.00953010886393

5-Fold rsquared:,-51.3097454455,-0.0434881893044,-23.5571184954,-3.33012746388,-3.33012746388
Average 5-Fold rsquared:,-16.2996770611
