traversalTime,transError.mean.mean
1349.09985599,0.507673043478
919.718726924,0.347489733333
419.663612797,0.178033842105
211.703543676,0.111519571429
265.490773911,0.135674892857
1173.06783952,0.567853258065
1490.99507567,0.483538
841.175649661,0.364766782609
512.459790786,0.266804521739
183.023661923,0.136014027027
288.952643527,0.1602634
191.014634059,0.11330008
162.313862645,0.120517266667
384.763332574,0.168592444444
546.868433022,0.1753349
384.284799509,0.250973828571
1093.28515564,0.267063583333
823.369821087,0.275744352941
1603.67256076,0.572332
726.421235223,0.401876478261
1455.54715772,0.554770068966
1342.9430314,0.601016714286
608.712541442,0.428635214286
1371.34741951,0.545607833333
550.763056801,0.392818764706
1001.59400158,0.511895521739
498.802202458,0.3828526
951.22385554,0.480142294118
633.149187702,0.200632047619
808.608614515,0.214672086957
897.190026783,0.310588818182
1578.35836762,0.63580396
918.534020399,0.357241074074
1008.03211816,0.322165133333
870.931728251,0.302912058824
1371.33686714,0.44758759375
274.928270325,0.0879599565217
658.752298095,0.20017225
750.178214424,0.388622
510.678711028,0.297397730769
1567.27616653,0.663971375
1367.57529848,0.551063954545
492.886623007,0.31300125
740.557101864,0.4318884
1069.35769226,0.465919793103
1006.22432177,0.471419
520.067365763,0.317696542857
717.088483789,0.366169390244
354.772213719,0.301987178571
1193.67522752,0.400407571429
439.245777626,0.2053401
431.491340742,0.194334555556
425.603880936,0.273704222222
1025.57459113,0.42013416
589.758911653,0.323464547619
656.952316561,0.429869033333
754.01694709,0.367336428571
699.590611899,0.283932129032
484.299613589,0.224394466667
339.901939934,0.191225219512
205.223499199,0.285115615385
609.45010448,0.3031
1187.28583886,0.475740875
639.103357547,0.236201074074
874.938568522,0.54542925
285.340344762,0.154262137931
870.904226907,0.423788730769
731.103227949,0.381827136364
618.684245989,0.189719777778
2080.31115619,0.489469857143
786.534337607,0.29107
653.648966259,0.17891308
1138.67499527,0.367190842105
2035.82864252,0.55025675
