numRooms,rotError.mean.mean
43,0.00804769565217
27,0.00518106666667
23,0.00745268421053
10,0.00380332142857
12,0.00530514285714
48,0.0113298387097
47,0.0100377916667
25,0.00991973913043
22,0.00654347826087
15,0.00574740540541
17,0.0063216
15,0.00609472
16,0.00695146666667
16,0.00522869444444
16,0.00419643333333
16,0.00586774285714
25,0.00836370833333
34,0.00957582352941
50,0.0118060833333
22,0.00680830434783
45,0.00944403448276
26,0.0102644642857
29,0.0246713571429
34,0.00765891666667
20,0.00877191176471
22,0.00719391304348
20,0.0116620333333
31,0.0221704705882
39,0.00773861904762
38,0.0076692173913
35,0.0124832272727
25,0.0090522
65,0.0147335925926
46,0.0128114
49,0.0131788235294
52,0.0105658125
13,0.00586613043478
40,0.01122375
33,0.010821
17,0.00736969230769
42,0.012007125
23,0.00962695454545
21,0.0105803333333
46,0.0089074
35,0.0112168965517
40,0.0137696
27,0.0132841714286
19,0.0079603902439
17,0.0102650357143
27,0.00904714285714
21,0.0111931666667
20,0.0101992222222
23,0.00787177777778
39,0.0083908
24,0.0134036428571
25,0.0111335666667
20,0.00665304761905
30,0.0100887741935
23,0.0131854666667
16,0.0108286829268
19,0.00526592307692
17,0.0074369
35,0.01176809375
21,0.00650085185185
30,0.0117556666667
16,0.00662575862069
37,0.0114198846154
36,0.00877604545455
16,0.00717885185185
44,0.00882771428571
24,0.00862746428571
19,0.00584372
31,0.0060295
79,0.0138904166667
