totalTime,rotError.mean.std
7739.04545455,0.00314194787486
5871.41333333,0.000529720236435
2281.97894737,0.00274200687267
1354.59642857,0.000868010041646
1659.58214286,0.000988470995105
5185.57037037,0.00396421114784
5477.86666667,0.00305267434636
3478.16818182,0.00323725683059
2830.96086957,0.00162224709611
1745.23513514,0.00122251686463
2208.06285714,0.00481593435646
1662.192,0.00139556645188
1609.00666667,0.00295561424787
2120.34594595,0.000970277349218
2048.65333333,0.00087903722649
3052.23428571,0.00234359606884
3764.16896552,0.00196300121238
3581.27058824,0.00475371639426
7070.53478261,0.00347532974758
4370.66666667,0.00196074084985
9172.43333333,0.00290945535533
9147.29230769,0.0031687609811
2876.39487179,0.00691864528074
10577.6692308,0.00176297243951
5200.37,0.00288446249643
6047.27826087,0.00193137045088
3020.41666667,0.00350567334933
3045.04117647,0.00957145977701
2454.26153846,0.00189316660463
2699.92727273,0.00409306542765
3264.42903226,0.0021898122043
5479.196,0.00268365863701
4427.51923077,0.00416085194839
3802.08461538,0.00454871802084
3494.89333333,0.00374086917173
6018.93823529,0.00321904367864
1558.62647059,0.00149199568169
3136.37916667,0.00373159733983
3815.912,0.00227211409784
2507.84230769,0.00284573492967
8208.764,0.00405082361008
5026.896,0.00433258295247
2862.13043478,0.00262143524665
3938.79487179,0.0015716058183
5791.23846154,0.00295077555546
5879.612,0.0019344299642
2866.03870968,0.00393376291854
5106.66388889,0.00199421540371
2649.53928571,0.00317220657184
7307.11666667,0.00212895982035
2228.52666667,0.00283126115696
2098.088,0.00452986510634
3423.01111111,0.00169591170353
6119.592,0.00167382816322
2410.93333333,0.00374603304672
4412.42962963,0.00567736820441
3693.98717949,0.00200585427637
3426.39032258,0.00290650421563
2034.859375,0.00604227499064
1896.65609756,0.00633767378436
4133.45185185,0.000897543822652
2596.04,0.00296056940863
5131.46666667,0.00379557550738
2637.14444444,0.0018376947053
5495.39090909,0.00342684333818
1954.06206897,0.0018378217927
4150.80833333,0.0038392713065
3693.959375,0.00265952798602
2386.22592593,0.00290145318257
7180.75,0.127889138475
2941.61538462,0.00273066403156
2600.284,0.00140772643706
5058.65263158,0.00163527502515
7318.78076923,0.00529794026363

5-Fold RMSE:,0.00415352071581,0.00307147419679,0.0322398764319,0.00600421764767,0.00600421764767
Average 5-Fold RMSE:,0.00967666627997

5-Fold rsquared:,-0.0742654714397,-6.07929561847,-1.92655867302,-19.5013347679,-19.5013347679
Average 5-Fold rsquared:,-5.85223170983
