voronoi_radius,transError.std.std
27,0.210038240515
29,0.167837658831
14,0.230568556601
18,0.0888341978949
15,0.0536568207547
6,0.0531756045959
11,0.0388866547706
19,0.207135681695
20,0.204774691356
19,0.258492090208
20,0.0429963941514
16,0.0500640527086
14,0.160692173355
10,0.0364422115207
10,0.115579807708
13,0.0370592039719
9,0.0491585794691
10,0.0890782760547
20,0.0933187599678
19,0.138087316178
21,0.283472780901
16,0.155756377989
40,0.431148459783
22,0.301796672041
11,0.15137538147
16,1.02365065259
9,0.167680135625
14,0.390698889866
12,0.145785206544
23,0.23374692862
22,0.0547581142166
19,0.0669920319093
17,0.391347667119
18,0.258741211908
23,0.35561401166
28,0.382246016935
21,0.155138806672
22,0.177945288381
8,0.0530782981644
17,0.150426578073
18,0.21615872905
12,0.0819226964463
20,0.293317732168
26,0.127652611947
17,0.221674636893
22,0.0853392946102
20,0.357301613152
20,0.453233740742
14,0.179230997901
20,0.236587447923
14,0.110170635227
16,0.172007018126
16,0.0621497895481
12,0.171951321611
17,0.126944549297
23,0.109794391941
18,0.107098494917
16,0.151433371273
14,0.185990376251
23,0.064450068138
15,0.0692099506632
14,0.075847820682
4,0.115451416633
16,0.129796983767
19,0.239664370415
14,0.105334107197
19,0.149483092715
13,0.0596299714663
18,0.141523549212
15,0.242795647909
18,0.0743403423368
16,0.355724934863
20,0.0562958637779
15,0.116143743091

5-Fold RMSE:,0.237959015761,0.0886430461799,0.109952939469,0.110399077223,0.110399077223
Average 5-Fold RMSE:,0.123981250369

5-Fold rsquared:,-0.0576462848394,0.0437353114872,0.156206835087,0.277159406743,0.277159406743
Average 5-Fold rsquared:,0.064045239083
