topology_density,transError.mean.std
0.0585365853659,0.128810550931
0.106666666667,0.0626106276575
0.166666666667,0.0363222141704
0.222222222222,0.0240230927776
0.181818181818,0.0231752964896
0.0582793709528,0.12471567563
0.0611664295875,0.118403445404
0.0942028985507,0.105974371826
0.134502923977,0.0468835943002
0.133333333333,0.0525575836354
0.117647058824,0.0652650350355
0.142857142857,0.0380406378831
0.183333333333,0.048698079138
0.158333333333,0.0465531383268
0.171428571429,0.015699391456
0.125,0.0795487657361
0.1,0.0609893108178
0.666666666667,0.0634488000674
0.0619796484736,0.121656676099
0.122807017544,0.108765944747
0.0542635658915,0.116482183881
0.0984615384615,0.123971354033
0.100985221675,0.117014135854
0.0659536541889,0.093854286797
0.105263157895,0.0949115380575
0.1,0.113382526137
0.105263157895,0.0940625752148
0.0827586206897,0.143229486163
0.0630630630631,0.0476951664389
0.0690690690691,0.0815122877936
0.0655462184874,0.0482871281887
0.08,0.109859637786
0.0460829493088,0.0815752280843
0.0550724637681,0.0639775660122
0.0505319148936,0.0966037993107
0.0475113122172,0.130209711384
0.166666666667,0.0344430098623
0.0602564102564,0.0825251437691
0.070564516129,0.0787229033116
0.117647058824,0.0703616797672
0.0592334494774,0.136893046155
0.0909090909091,0.131748844655
0.109523809524,0.0638479804609
0.0570048309179,0.0832238780337
0.0689655172414,0.112655965246
0.0641025641026,0.0882750414235
0.0826210826211,0.0630703094014
0.111111111111,0.0904968358626
0.15,0.0844506183324
0.0911680911681,0.0812632064472
0.0952380952381,0.0478290808047
0.110526315789,0.0665534059179
0.102766798419,0.063039235743
0.0611664295875,0.0862053699096
0.0905797101449,0.0951669768786
0.0866666666667,0.0936298052555
0.105263157895,0.083845172989
0.0712643678161,0.067525357097
0.0952380952381,0.0711609699581
0.125,0.0754858045801
0.105263157895,0.0666286445176
0.117647058824,0.06593977187
0.0621848739496,0.119219125795
0.0952380952381,0.060063217006
0.0804597701149,0.0967598598958
0.141666666667,0.0600886637503
0.0585585585586,0.103345628507
0.0773109243697,0.0960266591481
0.141666666667,0.0554747715395
0.0557491289199,0.117509395197
0.0978260869565,0.0976733690521
0.122807017544,0.0490437767207
0.0804597701149,0.0852449136299
0.090756302521,0.18024925237

5-Fold RMSE:,0.0250089608403,0.0722205496101,0.0354311015222,0.0258424258827,0.0258424258827
Average 5-Fold RMSE:,0.0376854165108

5-Fold rsquared:,-6.35015578445,0.220541010263,0.00718789891998,0.0484022830748,0.0484022830748
Average 5-Fold rsquared:,-1.19111867089
