topology_avg_betweenness_centrality,rotError.mean.mean
0.0677298311445,0.00781177272727
0.0785507246377,0.00518106666667
0.171328671329,0.00745268421053
0.244444444444,0.00380332142857
0.0818181818182,0.00530514285714
0.0430054476308,0.0108654444444
0.0396317370002,0.0100377916667
0.106554677207,0.00976259090909
0.12693498452,0.00654347826087
0.141391941392,0.00574740540541
0.145098039216,0.0063216
0.128937728938,0.00609472
0.107142857143,0.00695146666667
0.060119047619,0.00530697297297
0.0930402930403,0.00419643333333
0.0625,0.00586774285714
0.123188405797,0.0080334137931
0.333333333333,0.00957582352941
0.0447939150992,0.0113755652174
0.0835913312693,0.00664728571429
0.0346271236799,0.00940933333333
0.0462820512821,0.00862580769231
0.0456121145776,0.0175163076923
0.0721368092692,0.00585915384615
0.0746474028208,0.0080592
0.0809941520468,0.00719391304348
0.0526315789474,0.0116620333333
0.0803776683087,0.0185035384615
0.127799227799,0.00794823076923
0.0618618618619,0.00808536363636
0.0622358034123,0.00828783870968
0.0855072463768,0.0090522
0.0483073539657,0.0130484230769
0.0512077294686,0.0102915384615
0.0603415047795,0.0115043333333
0.0541025641026,0.0112823142857
0.124708624709,0.00535094117647
0.0702091767881,0.0116517083333
0.0786962365591,0.00985292
0.0990196078431,0.00736969230769
0.0726480836237,0.0124235769231
0.11405985319,0.0109033461538
0.0884711779449,0.00870517391304
0.0858805445762,0.00633515384615
0.0555829228243,0.0100060769231
0.071322537112,0.00994803703704
0.0939031339031,0.0114515483871
0.103887168903,0.00746737837838
0.0916666666667,0.0102650357143
0.109401709402,0.0086655
0.0867167919799,0.0111931666667
0.0763157894737,0.00878128
0.116318464145,0.00787177777778
0.0813181602655,0.0083908
0.0693346508564,0.013150075
0.0886956521739,0.0103568888889
0.125438596491,0.00629451282051
0.121100164204,0.0100887741935
0.0974025974026,0.0114415
0.11369047619,0.0108286829268
0.115927072583,0.00529
0.138235294118,0.0074369
0.0755793226381,0.0108653666667
0.10626566416,0.00650085185185
0.0506568144499,0.0107349090909
0.0613095238095,0.00662575862069
0.052380952381,0.0108217916667
0.0501145912911,0.00683478125
0.110714285714,0.00717885185185
0.0450348432056,0.0361834583333
0.0716403162055,0.00648584615385
0.0791193670451,0.00584372
0.0574712643678,0.0060295
0.0651387827858,0.0163589615385

5-Fold RMSE:,0.00198346656989,0.00217549252071,0.00475812373461,0.00327961997579,0.00327961997579
Average 5-Fold RMSE:,0.00392759817366

5-Fold rsquared:,0.0863370026711,-2.97771300853,-0.0418553500577,-0.272968755038,-0.272968755038
Average 5-Fold rsquared:,-0.748692401678
