voronoi_std_eigenvector_centrality,transError.numSamples.mean
0.061688422116,4854.31818182
0.0628848579041,2208.2
0.0735873626594,533.736842105
0.122421627337,281.035714286
0.100010706049,375.75
0.0665140899304,2982.96296296
0.0499869171086,4729.04166667
0.0583048887054,2494.54545455
0.0772599538281,1109.95652174
0.092355006202,244.540540541
0.0942375781658,830.8
0.107306514034,180.0
0.107707055274,450.733333333
0.0906409739223,456.135135135
0.104297507721,628.1
0.115439442184,954.971428571
0.0650409083878,914.034482759
0.0583229555488,2059.76470588
0.0594842394656,8438.2173913
0.0788215763143,1611.28571429
0.0480134270942,6025.96969697
0.0633224148962,4245.57692308
0.0695045297866,2369.74358974
0.0539293297254,11003.8461538
0.0795172592942,2018.0
0.0794001997108,8121.34782609
0.103601683322,2459.1
0.0621418524861,2825.15384615
0.0664741323194,898.038461538
0.0586477113224,845.545454545
0.0588844988291,908.161290323
0.0718074587629,6648.12
0.0433166383751,2004.73076923
0.0480981747221,1650.23076923
0.0571208297746,1444.0
0.0527148108833,4167.25714286
0.108039224395,160.676470588
0.0670363744304,1054.375
0.064562611159,1731.48
0.095602752891,1206.76923077
0.0559140808964,6763.84615385
0.057696329759,4317.96153846
0.0863325328339,1501.82608696
0.0684244190537,1183.46153846
0.0595416486538,4219.69230769
0.0570370754118,3851.77777778
0.0701124270704,2071.29032258
0.0655147896749,3696.67567568
0.0741480740915,1492.89285714
0.0598781678858,3379.41666667
0.0814587853061,655.766666667
0.0716576654504,619.76
0.0817727657324,1611.27777778
0.0609360751897,3842.36
0.0756944120562,1278.8
0.0625710750276,2906.77777778
0.0778171239841,1697.56410256
0.071506866971,1119.77419355
0.0754874067928,581.0
0.0768360610148,510.341463415
0.183177866246,1266.60714286
0.0882860014571,1420.46666667
0.0623255741929,3455.96666667
0.0811425974437,754.666666667
0.063736397957,2924.18181818
0.0876523795269,407.793103448
0.0655788298353,2267.29166667
0.0585601819606,1168.5
0.0666331321729,609.074074074
0.046391247244,4291.20833333
0.0702204048489,1209.07692308
0.0626679442345,461.08
0.0665682795308,1971.81578947
0.0393741635952,8361.53846154

5-Fold RMSE:,1645.80526928,2315.22627297,1959.99214724,2289.08657059,2289.08657059
Average 5-Fold RMSE:,2054.92891121

5-Fold rsquared:,-1.41611117442,0.231633152149,0.235769471806,0.195169811591,0.195169811591
Average 5-Fold rsquared:,-0.111105221691
