topology_std_eigenvector_centrality,rotError.std.std
0.10756347235,0.00570813314798
0.122312884505,0.00238204213415
0.1677582343,0.00443794731193
0.126523822532,0.00221181244909
0.134659649123,0.00124875791759
0.0953368680058,0.00692890029398
0.10463312949,0.00526352379524
0.143314542052,0.00916339305052
0.155800946802,0.00109827381314
0.136238783067,0.001820392131
0.12070283799,0.0115835540733
0.154249695615,0.00242628577179
0.144335610656,0.00881799279479
0.122088537902,0.00156947572306
0.115471578888,0.00133593491358
0.126969125396,0.0033034977955
0.149197272515,0.00427790386373
0.0976310729378,0.010818340273
0.0929410616606,0.0073614093577
0.129587592,0.0020421627691
0.0976912934536,0.00882900353326
0.112134596259,0.0056069691509
0.108435380695,0.00964521917124
0.116999705628,0.0102373131119
0.132839614937,0.00694223066048
0.127039153774,0.00719629727175
0.120678590464,0.00729724936466
0.118775976121,0.00941862106525
0.122166059236,0.00165015637774
0.11397801196,0.00327309840264
0.112661742233,0.00344135860057
0.133711411098,0.00431503222254
0.0795638641065,0.00820748297377
0.106549735087,0.038374045582
0.111420287448,0.00800000789555
0.0928921269199,0.00653686665775
0.132185619966,0.0030003076901
0.122766639694,0.00533292057631
0.105912295049,0.00671912860422
0.133073753052,0.00480609803905
0.114101280324,0.00899802736477
0.109405113251,0.00879950207474
0.12661037708,0.0034406223505
0.120475441694,0.00161564506
0.11078077306,0.00646094092521
0.108512198276,0.00512121237682
0.13417553378,0.00772600753931
0.128133402293,0.00810460207062
0.131768090649,0.00596216482169
0.130350497196,0.00468461053166
0.129026999341,0.00290363576381
0.133089510306,0.00727200671353
0.14421463787,0.00593740494427
0.104515098912,0.0031691424541
0.123327189632,0.00360718859354
0.129278231027,0.00760278416857
0.136984666563,0.00281495176744
0.119071453185,0.00295568783369
0.123020874141,0.00587875703598
0.133127955687,0.00492444947089
0.121745985772,0.00274550707465
0.125418567606,0.00668196581096
0.113860325594,0.00693703706243
0.122025009105,0.00651974844058
0.11116785633,0.0105001485137
0.124194319488,0.00348419817228
0.0963975736058,0.00672065780498
0.105943592175,0.00427584456832
0.130288075133,0.0034764729288
0.105212691271,0.218382402573
0.12417994054,0.0062202472559
0.1242813404,0.00201918335413
0.113850442469,0.00303309851547
0.0983045532532,0.00630615992045

5-Fold RMSE:,0.054524227788,0.00633899389104,0.00702507674928,0.00618017961947,0.00618017961947
Average 5-Fold RMSE:,0.0164987054557

5-Fold rsquared:,-5.85712633854,-0.0546278776108,-4.22605825625,-0.0192372109646,-0.0192372109646
Average 5-Fold rsquared:,-2.62184338865
