topology_diameter,transError.numSamples.std
7,4496.65449768
6,1068.57195671
5,257.853455343
6,141.850142792
2,182.929460449
6,2244.05747734
5,3935.77212331
7,2874.5710625
6,363.803157271
6,147.306005198
6,2626.374729
6,108.084781537
5,1084.0791156
2,180.818284498
3,273.731419461
2,642.991734482
8,702.453163625
2,1510.28589149
6,14872.7918784
4,720.79837633
5,9225.92445392
4,3023.39259484
4,2651.41884337
5,24043.8800652
4,1616.41335473
4,8919.29941979
2,1725.55951023
8,1863.36560045
13,624.17813537
6,620.469279434
6,857.003410118
7,5103.87888822
8,1966.19530209
8,1057.23261059
8,1483.83345876
8,3961.17166175
4,165.786311893
8,2139.14201672
7,1428.99660238
4,968.189122803
8,5433.37490878
6,3842.62601996
5,1817.05743137
12,691.528513091
4,8506.08116752
7,3722.68290681
8,1936.04140841
4,4393.41939757
3,1687.4634671
8,2072.14962693
4,383.599850828
5,786.667567909
6,1917.94562562
8,2174.75877982
5,748.389444073
7,2608.69783514
6,1354.24201138
10,490.102011085
6,432.474999277
4,473.088895362
6,597.094712473
5,1136.24840985
7,3100.93252085
5,803.781894131
4,1700.53022844
2,316.936671506
6,2065.32399555
4,1024.40711512
5,350.849437575
6,3504.51641908
5,2631.23148885
4,257.78020405
5,1433.91482635
7,4268.01882728

5-Fold RMSE:,6022.38986307,4100.85225136,1561.69730467,1508.30063748,1508.30063748
Average 5-Fold RMSE:,3094.31485696

5-Fold rsquared:,-0.425811966184,-0.130301937637,-0.137102611223,-0.0770884033643,-0.0770884033643
Average 5-Fold rsquared:,-0.159818394529
