traversalTime,transError.mean.std
1349.09985599,0.145382176939
919.718726924,0.0626106276575
419.663612797,0.0363222141704
211.703543676,0.0240230927776
265.490773911,0.0231752964896
1173.06783952,0.244942705536
1490.99507567,0.118403445404
841.175649661,0.25684750383
512.459790786,0.0468835943002
183.023661923,0.0525575836354
288.952643527,0.0652650350355
191.014634059,0.0380406378831
162.313862645,0.048698079138
384.763332574,0.0471928668924
546.868433022,0.015699391456
384.284799509,0.0795487657361
1093.28515564,0.0564341131084
823.369821087,0.0634488000674
1603.67256076,0.157331633444
726.421235223,0.225853461955
1455.54715772,0.120880204555
1342.9430314,0.192289958812
608.712541442,0.0925116985357
1371.34741951,0.182870156349
550.763056801,0.150862439925
1001.59400158,0.113382526137
498.802202458,0.0940625752148
951.22385554,0.228409668405
633.149187702,0.0484971177734
808.608614515,0.0700468458533
897.190026783,0.287812908678
1578.35836762,0.109859637786
918.534020399,0.30823195051
1008.03211816,0.251954545215
870.931728251,0.158847840005
1371.33686714,0.112238353718
274.928270325,0.0402882774962
658.752298095,0.0467955533351
750.178214424,0.1264444763
510.678711028,0.0703616797672
1567.27616653,0.114763250904
1367.57529848,0.0896356459078
492.886623007,0.185040710074
740.557101864,0.14370205831
1069.35769226,0.281651273406
1006.22432177,0.217198105027
520.067365763,0.0868164172079
717.088483789,0.121972989288
354.772213719,0.0844506183324
1193.67522752,0.112880779061
439.245777626,0.0478290808047
431.491340742,0.0419657032537
425.603880936,0.063039235743
1025.57459113,0.0862053699096
589.758911653,0.123650418782
656.952316561,0.166220167829
754.01694709,0.205108169667
699.590611899,0.067525357097
484.299613589,0.0423677614464
339.901939934,0.0754858045801
205.223499199,0.0677220225742
609.45010448,0.06593977187
1187.28583886,0.17018166168
639.103357547,0.060063217006
874.938568522,0.14039673261
285.340344762,0.0600886637503
870.904226907,0.141798879212
731.103227949,0.313625308616
618.684245989,0.0554747715395
2080.31115619,0.114621750347
786.534337607,0.22720282762
653.648966259,0.0490437767207
1138.67499527,0.0852449136299
2035.82864252,0.138300771799
