voronoi_radius,transError.std.mean
27,0.778805
29,0.522405666667
14,0.611337304348
18,0.3833542
15,0.198447578947
6,0.12269
11,0.153758035714
19,0.492268548387
20,0.531760416667
19,0.440496478261
20,0.30601326087
16,0.133319189189
14,0.194677542857
10,0.11035772
10,0.139761666667
13,0.178345722222
9,0.2198439
10,0.243437428571
20,0.256086724138
19,0.338521882353
21,0.61062825
16,0.359939652174
40,0.708234558824
22,0.628137071429
11,0.443055071429
16,0.936557642857
9,0.398797941176
14,0.690604043478
12,0.404276533333
23,0.493052294118
22,0.232889238095
19,0.221677130435
17,0.341540409091
18,0.65674012
23,0.423536259259
28,0.4465398
21,0.306929823529
22,0.480697125
8,0.108247869565
17,0.236416833333
18,0.405104185185
12,0.273577115385
20,0.694026083333
26,0.480950272727
17,0.326498583333
22,0.4142652
20,0.500458896552
20,0.625794366667
14,0.379335257143
20,0.487031439024
14,0.309707785714
16,0.503770083333
16,0.218116833333
12,0.213804791667
17,0.310407555556
23,0.50208644
18,0.3024675
16,0.464581966667
14,0.379500214286
23,0.286365322581
15,0.19540578125
14,0.171382926829
4,0.326238777778
16,0.287927933333
19,0.50571615625
14,0.224714148148
19,0.500257916667
13,0.153626448276
18,0.398803653846
15,0.341757914286
18,0.203370592593
16,0.304974964286
20,0.17280424
15,0.366907921053

5-Fold RMSE:,0.157110841464,0.0918070800576,0.158389942639,0.163104001684,0.163104001684
Average 5-Fold RMSE:,0.148910157066

5-Fold rsquared:,0.526012224974,-0.00322218913918,0.378864935597,-0.0324887990179,-0.0324887990179
Average 5-Fold rsquared:,0.252484271884
