topology_diameter,transError.mean.mean
7,0.616674277778
6,0.513207166667
7,0.511799
6,0.347489733333
5,0.178033842105
6,0.111519571429
2,0.135674892857
6,0.567853258065
5,0.483538
7,0.364766782609
6,0.266804521739
6,0.136014027027
6,0.1602634
6,0.11330008
5,0.120517266667
2,0.168592444444
3,0.1753349
2,0.250973828571
8,0.255138206897
2,0.275744352941
6,0.572332
4,0.401876478261
5,0.667381558824
4,0.601016714286
4,0.428635214286
5,0.534300857143
4,0.392818764706
4,0.511895521739
2,0.3828526
8,0.480142294118
13,0.200632047619
6,0.214672086957
6,0.310588818182
7,0.63580396
8,0.357241074074
8,0.322165133333
8,0.302912058824
8,0.44758759375
4,0.0879599565217
8,0.224303125
7,0.388622
4,0.297397730769
8,0.663971375
6,0.551063954545
5,0.31300125
12,0.4318884
4,0.465919793103
7,0.471419
8,0.317696542857
4,0.366169390244
3,0.301987178571
8,0.381142583333
4,0.2053401
5,0.189486166667
6,0.273704222222
8,0.42013416
5,0.323464547619
7,0.429869033333
6,0.367336428571
10,0.283932129032
6,0.19405875
4,0.191225219512
6,0.285231925926
5,0.3031
7,0.475740875
5,0.236201074074
4,0.54542925
2,0.154262137931
6,0.423788730769
4,0.337108057143
5,0.189719777778
5,0.29107
4,0.17891308
5,0.367190842105

5-Fold RMSE:,0.145436485286,0.154851555435,0.144066255823,0.145732234741,0.145732234741
Average 5-Fold RMSE:,0.147659803592

5-Fold rsquared:,-0.0547723483523,0.0899450341077,0.0518708311215,0.0599386765766,0.0599386765766
Average 5-Fold rsquared:,0.0106723174569
