avgRoomArea,rotError.std.std
37.5123784326,0.00568699616952
286.445046973,0.218382402573
7977.65771283,0.00580885788305
21173.5347899,0.00238204213415
624.168754832,0.00443794731193
80.8425765625,0.00221181244909
1471.88578033,0.00124875791759
34.881097464,0.00670812510145
2549.50107571,0.00526352379524
1963.40434773,0.00913242766636
2780.84323949,0.00109827381314
1048.19797,0.001820392131
2295.96385831,0.0115835540733
722.891074407,0.00242628577179
238.733433348,0.00881799279479
1918.774887,0.00155158807808
68.8216068272,0.00133593491358
6551.51671392,0.0033034977955
6943.03896001,0.00427790386373
1733.7689016,0.010818340273
35.6467956188,0.00939720652641
151.362690548,0.00241009476396
99.3657311669,0.0296182606338
301.946595142,0.0239013077489
121.68372176,0.0967031592699
117.729480802,0.0220331329296
159.178043584,0.00693154786835
159.188760688,0.00719629727175
859.936380576,0.00729724936466
1770.82512649,0.00928123177602
91.9816248562,0.00146296711826
1183.72809077,0.00345204746565
1997.3848037,0.0235237306324
49524.5924242,0.00431503222254
469.164697244,0.0109164373752
943.370778453,0.0384564311949
42.0407507992,0.0101640285899
199.193698175,0.0060490277033
788.58765325,0.00237160519209
453.458902845,0.00533292057631
1693.17206751,0.00798833628714
5552.49887159,0.00480609803905
363.343164941,0.00931314053418
1289.36416825,0.0035854966117
2951.87623731,0.0090749635613
977.277898735,0.00197943739482
5426.47434551,0.00752716726779
2722.63884182,0.0245157322818
1209.03521613,0.0131644023743
16879.3303371,0.00816947942897
5157.30973711,0.00596216482169
15832.5442995,0.00468461053166
1087.11846417,0.00290363576381
1294.3483084,0.00664701953873
2704.27313193,0.00593740494427
4465.17802586,0.0031691424541
2060.46065176,0.00408505580913
6566.39327632,0.0074098626606
7841.40851591,0.00358325893136
1885.83138054,0.00295568783369
684.955365045,0.00587875703598
1404.46439982,0.00492444947089
17362.1361915,0.00279567043769
5741.66815356,0.00668196581096
202.653527556,0.00806206474837
3232.68514713,0.00651974844058
654.353986368,0.0102982308024
1364.62420536,0.00348419817228
2100.80696472,0.00773341395644
114.824991211,0.00606781674054
1050.81706285,0.0034764729288
5620.85672307,0.0129904271285
1918.72960961,0.00201918335413
5899.38741064,0.00303309851547

5-Fold RMSE:,0.00972511846674,0.00819191781057,0.023277172806,0.0542263387632,0.0542263387632
Average 5-Fold RMSE:,0.0205093893727

5-Fold rsquared:,-10.7989668452,-0.0588704694926,0.0211813812476,-0.0134358199158,-0.0134358199158
Average 5-Fold rsquared:,-3.19552975326
