roomPerimeter,transError.std.std
1588.62791478,0.226872799473
1351.09384402,0.0888341978949
458.622966465,0.0536568207547
125.926169628,0.0531756045959
302.601396954,0.0388866547706
501.062394277,0.156091446153
1837.42341771,0.204774691356
688.861804167,0.189473879231
662.793955846,0.0429963941514
345.129490021,0.0500640527086
456.293929549,0.160692173355
315.925559425,0.0364422115207
243.357074819,0.115579807708
409.663330218,0.0365550743802
203.831915727,0.0491585794691
608.510749633,0.0890782760547
811.724322072,0.0933187599678
789.405453777,0.138087316178
498.214112703,0.258353516079
349.485622363,0.0779121061829
623.087494685,0.259494989064
506.227250231,0.214149069586
469.640967896,0.160472378798
470.629120514,0.578481679757
343.406315926,0.14193715639
349.626511091,0.390698889866
503.178792264,0.145785206544
824.277775057,0.196101691352
481.48305766,0.0540020208264
859.077312371,0.0639730578518
1023.76949412,0.0642383791162
1483.77049838,0.258741211908
1208.95867135,0.131888311652
1173.67459887,0.126072926139
537.162909983,0.124697260981
845.005713505,0.192108034661
279.62861162,0.0517409309399
780.915742482,0.150426578073
909.128599512,0.141387393986
623.395444333,0.0819226964463
787.160481335,0.284322556163
551.960813093,0.268748777682
655.096395443,0.0698040570684
1086.4876646,0.0777311359681
1357.05101607,0.221015525555
1113.23214774,0.170190402896
636.640571297,0.10685390071
883.283838598,0.237490765274
638.505269241,0.110170635227
1290.51989442,0.172007018126
474.810346145,0.0621497895481
502.295701425,0.110615023941
687.882051882,0.126944549297
1293.11063322,0.109794391941
602.61103687,0.0809823194632
864.15979835,0.12386252947
846.661098224,0.0966363792344
687.49670878,0.064450068138
454.8062828,0.0692099506632
406.40042891,0.075847820682
865.683726415,0.113532147819
580.17017166,0.129796983767
551.429068269,0.192206970562
620.854347876,0.105334107197
651.012500721,0.145524364411
367.406975129,0.0596299714663
1075.51367261,0.130217601143
533.159488544,0.0974594238893
377.956377889,0.0743403423368
747.238694267,0.167837658831
900.193877884,0.168709916846
496.333168951,0.0562958637779
1394.54206022,0.116143743091
837.315270419,0.206076064429

5-Fold RMSE:,0.054844063938,0.0681477478724,0.0982638230034,0.129964574432,0.129964574432
Average 5-Fold RMSE:,0.0831985298936

5-Fold rsquared:,-0.0856491242337,0.204174254368,-0.34253974594,-0.158397603294,-0.158397603294
Average 5-Fold rsquared:,-0.136689822287
