voronoi_edges,rotError.std.std
264,0.00570813314798
288,0.00238204213415
178,0.00443794731193
61,0.00221181244909
92,0.00124875791759
229,0.00692890029398
404,0.00526352379524
305,0.00916339305052
171,0.00109827381314
112,0.001820392131
104,0.0115835540733
82,0.00242628577179
80,0.00881799279479
114,0.00156947572306
85,0.00133593491358
69,0.0033034977955
234,0.00427790386373
297,0.010818340273
285,0.0073614093577
159,0.0020421627691
449,0.00882900353326
257,0.0056069691509
210,0.00964521917124
337,0.0102373131119
147,0.00694223066048
155,0.00719629727175
85,0.00729724936466
253,0.00941862106525
220,0.00165015637774
292,0.00327309840264
287,0.00344135860057
189,0.00431503222254
562,0.00820748297377
437,0.038374045582
303,0.00800000789555
356,0.00653686665775
75,0.0030003076901
216,0.00533292057631
235,0.00671912860422
104,0.00480609803905
320,0.00899802736477
321,0.00879950207474
128,0.0034406223505
211,0.00161564506
279,0.00646094092521
315,0.00512121237682
193,0.00772600753931
255,0.00810460207062
175,0.00596216482169
282,0.00468461053166
142,0.00290363576381
190,0.00727200671353
146,0.00593740494427
265,0.0031691424541
170,0.00360718859354
263,0.00760278416857
166,0.00281495176744
192,0.00295568783369
172,0.00587875703598
166,0.00492444947089
24,0.00274550707465
123,0.00668196581096
253,0.00693703706243
145,0.00651974844058
246,0.0105001485137
125,0.00348419817228
232,0.00672065780498
295,0.00427584456832
214,0.0034764729288
469,0.218382402573
195,0.0062202472559
248,0.00201918335413
226,0.00303309851547
651,0.00630615992045

5-Fold RMSE:,0.00671816206943,0.00775186512533,0.0538281445074,0.0208265492506,0.0208265492506
Average 5-Fold RMSE:,0.0193565303939

5-Fold rsquared:,-18.0998567942,-18.0600503252,-0.0127308089659,0.00776076816546,0.00776076816546
Average 5-Fold rsquared:,-8.19346612779
