topology_diameter,rotError.numSamples.std
7,4574.73377354
6,3504.51641908
7,4516.12281977
6,1068.57195671
5,257.853455343
6,141.850142792
2,182.929460449
6,3510.04999446
5,3935.77212331
7,4927.43898941
6,363.803157271
6,147.306005198
6,2626.374729
6,108.084781537
5,1084.0791156
2,183.153742003
3,273.731419461
2,642.991734482
8,702.453163625
2,1510.28589149
6,14727.7449601
4,2308.33572565
5,15286.2712796
4,8108.00744572
4,2866.01159506
5,24073.9681947
4,2219.38941949
4,8919.29941979
2,1725.55951023
8,3228.66340734
13,308.046732032
6,701.623265043
6,12253.024445
7,5103.87888822
8,12190.977691
8,10206.0904135
8,1947.88730019
8,4006.02426321
4,189.939449112
8,2139.14201672
7,4015.83521781
4,968.189122803
8,5532.41528027
6,1328.17120275
5,4913.35122961
12,897.213776087
4,12782.2996962
7,15884.6134701
8,3217.32940007
4,4350.15152402
3,1687.4634671
8,2072.14962693
4,383.599850828
5,2014.30380687
6,1917.94562562
8,2174.75877982
5,1102.42140417
7,2925.49410622
6,3355.85891523
10,490.102011085
6,432.474999277
4,473.088895362
6,606.727838005
5,1136.24840985
7,4289.42952164
5,803.781894131
4,1881.63948857
2,316.936671506
6,2151.72678867
4,5518.65907301
5,350.849437575
5,9293.22106863
4,257.78020405
5,1433.91482635

5-Fold RMSE:,3071.28339768,6300.39160478,4097.51559974,3227.02515689,3227.02515689
Average 5-Fold RMSE:,4487.00462177

5-Fold rsquared:,-0.82171175884,-0.113370265617,-0.0172087274672,-0.0137669732571,-0.0137669732571
Average 5-Fold rsquared:,-0.198960831005
