avgRoomWallRatio,rotError.mean.std
8.06038669655,0.0051668558009
12.4734197923,0.127889138475
94.0246719844,0.00340156190411
23.0972333146,0.000529720236435
17.2159380658,0.00274200687267
34.9170323836,0.000868010041646
40.1386183344,0.000988470995105
4.15960998171,0.00429956664055
98.27407095,0.00305267434636
32.0558355679,0.00325076749757
31.8854450811,0.00162224709611
17.0310324486,0.00122251686463
17.8785937327,0.00481593435646
5.31889858635,0.00139556645188
11.6322524159,0.00295561424787
16.7112958669,0.00086073843683
4.19025169616,0.00087903722649
4.5851672727,0.00234359606884
28.2697955746,0.00196300121238
78.8607355756,0.00475371639426
5.76789137536,0.00397965134483
9.94474092631,0.00194485015484
9.40155834329,0.011229552043
15.5899748781,0.00728678377751
13.2876366474,0.0240067761271
5.36699093475,0.00587163384417
16.4235744233,0.00364257671701
5.20590608492,0.00193137045088
3.89560341955,0.00350567334933
28.751717776,0.011540864302
17.0235577735,0.00169851493892
16.5688430617,0.00387832424544
41.7117577663,0.018982936371
42.725871617,0.00268365863701
74.578108553,0.00951347370549
31.9225066807,0.0113683540574
5.20722404423,0.0102189055546
7.42424488488,0.00279617073466
7.63297537834,0.00119649202124
21.7010848341,0.00373159733983
137.556377369,0.00435481252733
20.6470540419,0.00284573492967
12.5838625992,0.00405173873492
32.8475094999,0.00258198449888
23.8346876138,0.00935193660277
21.4298943763,0.00120964368307
257.915562133,0.00544625576124
18.4384227154,0.0122018643728
21.165267296,0.00687929093309
52.1209436869,0.00319700990545
21.1597420627,0.00317220657184
372.057769319,0.00212895982035
21.6349184755,0.00283126115696
17.1761447181,0.00479663990611
52.6797805223,0.00169591170353
452.745366651,0.00167382816322
11.0567143812,0.00464877681209
20.8609685098,0.00631663664558
29.1017856064,0.00267358431567
33.8993698932,0.00290650421563
17.0002297373,0.00604227499064
13.0307686716,0.00633767378436
112.186234652,0.000897543822652
34.5694850639,0.00296056940863
6.82477892286,0.00514108200771
11.3478965674,0.0018376947053
25.0965042526,0.00559589829449
31.3640832419,0.0018378217927
5.11370107056,0.00470429841354
5.66003775883,0.00584007398849
31.0817993552,0.00290145318257
20.3487250038,0.0102512932546
91.8956005443,0.00140772643706
91.5984252567,0.00163527502515

5-Fold RMSE:,0.00438614395824,0.00379755098918,0.00565944876136,0.0322794641324,0.0322794641324
Average 5-Fold RMSE:,0.0100538819881

5-Fold rsquared:,-1.28289219945,-0.0561290008218,-0.459854155517,-0.637106031275,-0.637106031275
Average 5-Fold rsquared:,-0.491091638205
