topology_std_eigenvector_centrality,transError.numSamples.std
0.0983045532532,4574.73377354
0.105212691271,3504.51641908
0.10756347235,4516.12281977
0.122312884505,1068.57195671
0.1677582343,257.853455343
0.126523822532,141.850142792
0.134659649123,182.929460449
0.0953368680058,3510.04999446
0.10463312949,3935.77212331
0.143314542052,4927.43898941
0.155800946802,363.803157271
0.136238783067,147.306005198
0.12070283799,2626.374729
0.154249695615,108.084781537
0.144335610656,1084.0791156
0.122088537902,183.153742003
0.115471578888,273.731419461
0.126969125396,642.991734482
0.149197272515,702.453163625
0.0976310729378,1510.28589149
0.0929410616606,14727.7449601
0.129587592,2308.33572565
0.0976912934536,15286.2712796
0.112134596259,8108.00744572
0.108435380695,2866.01159506
0.116999705628,24073.9681947
0.132839614937,2219.38941949
0.127039153774,8919.29941979
0.120678590464,1725.55951023
0.118775976121,3228.66340734
0.122166059236,308.046732032
0.11397801196,701.623265043
0.112661742233,12253.024445
0.133711411098,5103.87888822
0.0795638641065,12190.977691
0.106549735087,10206.0904135
0.111420287448,1947.88730019
0.0928921269199,4006.02426321
0.132185619966,189.939449112
0.122766639694,2139.14201672
0.105912295049,4015.83521781
0.133073753052,968.189122803
0.114101280324,5532.41528027
0.109405113251,1328.17120275
0.12661037708,4913.35122961
0.120475441694,897.213776087
0.11078077306,12782.2996962
0.108512198276,15884.6134701
0.13417553378,3217.32940007
0.128133402293,4350.15152402
0.131768090649,1687.4634671
0.130350497196,2072.14962693
0.129026999341,383.599850828
0.133089510306,2014.30380687
0.14421463787,1917.94562562
0.104515098912,2174.75877982
0.123327189632,1102.42140417
0.129278231027,2925.49410622
0.136984666563,3355.85891523
0.119071453185,490.102011085
0.123020874141,432.474999277
0.133127955687,473.088895362
0.121745985772,606.727838005
0.125418567606,1136.24840985
0.113860325594,4289.42952164
0.122025009105,803.781894131
0.11116785633,1881.63948857
0.124194319488,316.936671506
0.0963975736058,2151.72678867
0.105943592175,5518.65907301
0.130288075133,350.849437575
0.12417994054,9293.22106863
0.1242813404,257.78020405
0.113850442469,1433.91482635

5-Fold RMSE:,2572.28347528,5381.25124405,2258.26151084,6038.4532352,6038.4532352
Average 5-Fold RMSE:,3902.59179407

5-Fold rsquared:,-0.0426599397748,0.232399780354,-0.00800658473363,-0.0349465924652,-0.0349465924652
Average 5-Fold rsquared:,0.0669574873747
