std_betweenness_centrality,transError.mean.mean
0.0746543812721,0.507673043478
0.062851196191,0.347489733333
0.120555286217,0.178033842105
0.134588707592,0.111519571429
0.157081183686,0.135674892857
0.0702608079073,0.567853258065
0.0724914959019,0.483538
0.115339067677,0.364766782609
0.140816589884,0.266804521739
0.16805134529,0.136014027027
0.169705907227,0.1602634
0.148425240047,0.11330008
0.160579833031,0.120517266667
0.154942199063,0.168592444444
0.119327588971,0.1753349
0.175548202855,0.250973828571
0.127445753524,0.267063583333
0.0828370625069,0.275744352941
0.0894050902149,0.572332
0.0939366873161,0.401876478261
0.0913729694687,0.554770068966
0.0739055320019,0.601016714286
0.076293463043,0.428635214286
0.0958990178296,0.545607833333
0.0830023467368,0.392818764706
0.138718645002,0.511895521739
0.117196701992,0.3828526
0.108306665569,0.480142294118
0.141828214583,0.200632047619
0.0756330969252,0.214672086957
0.0762021693546,0.310588818182
0.140770979315,0.63580396
0.0511046648544,0.357241074074
0.0862567077224,0.322165133333
0.0952789524029,0.302912058824
0.0836735301728,0.44758759375
0.154109156244,0.0879599565217
0.0946700876743,0.20017225
0.0848366529613,0.388622
0.151920860392,0.297397730769
0.0770398687958,0.663971375
0.134288831834,0.551063954545
0.157379029906,0.31300125
0.127519968793,0.4318884
0.0867796134283,0.465919793103
0.0850149322524,0.471419
0.1103334443,0.317696542857
0.114004545879,0.366169390244
0.0990072824493,0.301987178571
0.0829289381716,0.400407571429
0.141626997478,0.2053401
0.0926301375778,0.194334555556
0.147842301865,0.273704222222
0.116817550364,0.42013416
0.103636622274,0.323464547619
0.0778880925589,0.429869033333
0.128144102526,0.367336428571
0.151022466631,0.283932129032
0.121528219661,0.224394466667
0.115413024622,0.191225219512
0.126020319963,0.285115615385
0.15578903341,0.3031
0.123818508682,0.475740875
0.138059180639,0.236201074074
0.082138035642,0.54542925
0.125731603212,0.154262137931
0.0855568473939,0.423788730769
0.0623751617214,0.381827136364
0.121268856559,0.189719777778
0.078906434805,0.489469857143
0.0872310046751,0.29107
0.087537102921,0.17891308
0.113038517998,0.367190842105
0.064127687584,0.55025675
