perimeter,transError.std.mean
919.385854688,0.610577304348
845.094809668,0.3833542
400.830204991,0.198447578947
104.798400009,0.12269
297.255462487,0.153758035714
175.184877189,0.492268548387
975.710287307,0.531760416667
661.864870045,0.440496478261
461.959330453,0.30601326087
301.700928702,0.133319189189
395.362041332,0.194677542857
266.76921056,0.11035772
190.183623926,0.139761666667
384.28900186,0.178345722222
169.305586218,0.2198439
547.895428741,0.243437428571
663.883925852,0.273808166667
569.465956684,0.338521882353
277.253593842,0.61062825
186.385475943,0.359939652174
266.853191731,0.588087103448
251.520417083,0.628137071429
217.978099666,0.443055071429
413.568733758,0.999427916667
161.46910584,0.398797941176
333.320883456,0.690604043478
348.726342602,0.404276533333
582.414195881,0.493052294118
416.287346717,0.232889238095
602.450956601,0.221677130435
625.529006956,0.341540409091
1411.67024864,0.65674012
687.006424965,0.423536259259
804.802666284,0.4465398
325.157616123,0.306929823529
394.105092531,0.480697125
254.907573617,0.108247869565
512.058047582,0.1948145
574.390274931,0.405104185185
577.749460923,0.273577115385
462.202334131,0.694026083333
542.151199633,0.480950272727
607.353417602,0.326498583333
895.078361009,0.4142652
810.652971073,0.500458896552
791.247099826,0.625794366667
523.504495381,0.379335257143
642.501394841,0.487031439024
438.695516966,0.309707785714
921.061208435,0.515047357143
425.51985706,0.218116833333
383.553654629,0.219631666667
611.004216827,0.310407555556
1094.05395026,0.50208644
396.724658884,0.3024675
623.982104305,0.464581966667
673.355919531,0.379500214286
614.642509546,0.286365322581
383.053807066,0.206892133333
377.554649486,0.171382926829
798.372831181,0.324577269231
541.589338691,0.287927933333
479.641424654,0.50571615625
562.534496366,0.224714148148
398.050280897,0.500257916667
346.945664463,0.153626448276
629.847164937,0.398803653846
243.197749682,0.389266045455
431.988152916,0.203370592593
476.307895935,0.525956928571
609.954365264,0.304974964286
446.124179764,0.17280424
1033.37498647,0.366907921053
383.710764507,0.741109166667
