perimeter,rotError.mean.mean
919.385854688,0.00804769565217
845.094809668,0.00518106666667
400.830204991,0.00745268421053
104.798400009,0.00380332142857
297.255462487,0.00530514285714
175.184877189,0.0113298387097
975.710287307,0.0100377916667
661.864870045,0.00991973913043
461.959330453,0.00654347826087
301.700928702,0.00574740540541
395.362041332,0.0063216
266.76921056,0.00609472
190.183623926,0.00695146666667
384.28900186,0.00522869444444
169.305586218,0.00419643333333
547.895428741,0.00586774285714
663.883925852,0.00836370833333
569.465956684,0.00957582352941
277.253593842,0.0118060833333
186.385475943,0.00680830434783
266.853191731,0.00944403448276
251.520417083,0.0102644642857
217.978099666,0.0246713571429
413.568733758,0.00765891666667
161.46910584,0.00877191176471
333.320883456,0.00719391304348
348.726342602,0.0116620333333
582.414195881,0.0221704705882
416.287346717,0.00773861904762
602.450956601,0.0076692173913
625.529006956,0.0124832272727
1411.67024864,0.0090522
687.006424965,0.0147335925926
804.802666284,0.0128114
325.157616123,0.0131788235294
394.105092531,0.0105658125
254.907573617,0.00586613043478
512.058047582,0.01122375
574.390274931,0.010821
577.749460923,0.00736969230769
462.202334131,0.012007125
542.151199633,0.00962695454545
607.353417602,0.0105803333333
895.078361009,0.0089074
810.652971073,0.0112168965517
791.247099826,0.0137696
523.504495381,0.0132841714286
642.501394841,0.0079603902439
438.695516966,0.0102650357143
921.061208435,0.00904714285714
425.51985706,0.0111931666667
383.553654629,0.0101992222222
611.004216827,0.00787177777778
1094.05395026,0.0083908
396.724658884,0.0134036428571
623.982104305,0.0111335666667
673.355919531,0.00665304761905
614.642509546,0.0100887741935
383.053807066,0.0131854666667
377.554649486,0.0108286829268
798.372831181,0.00526592307692
541.589338691,0.0074369
479.641424654,0.01176809375
562.534496366,0.00650085185185
398.050280897,0.0117556666667
346.945664463,0.00662575862069
629.847164937,0.0114198846154
243.197749682,0.00877604545455
431.988152916,0.00717885185185
476.307895935,0.00882771428571
609.954365264,0.00862746428571
446.124179764,0.00584372
1033.37498647,0.0060295
383.710764507,0.0138904166667
