numBifurcationPoints,rotError.std.mean
131,0.0136865652174
162,0.00848306666667
88,0.00990715789474
28,0.00666489285714
44,0.00854714285714
93,0.0155064516129
197,0.0139629166667
146,0.0146126956522
85,0.00927660869565
52,0.00886394594595
48,0.0103236571429
39,0.00831244
38,0.0120980666667
52,0.00897186111111
41,0.0070672
32,0.00862697142857
114,0.0111955416667
145,0.0146358235294
119,0.0165645
68,0.00871552173913
195,0.0142774482759
107,0.0177865357143
98,0.0435829285714
126,0.01847425
66,0.0134678235294
58,0.0117434782609
41,0.0171069
125,0.0210941176471
107,0.00869485714286
145,0.00991634782609
141,0.0162976363636
92,0.01273672
268,0.0216128148148
214,0.0267318666667
145,0.014787
178,0.01558596875
36,0.00887017391304
104,0.0132185
117,0.0158112592593
49,0.0110901538462
160,0.016004875
159,0.0116140454545
62,0.0131456666667
102,0.012016
137,0.0138605172414
155,0.0208444333333
94,0.0209096857143
135,0.0136826097561
84,0.0140931785714
144,0.0134039285714
67,0.0124418666667
90,0.0149295555556
71,0.0113095
126,0.01085984
81,0.0133554761905
134,0.0143581333333
82,0.00947095238095
94,0.0113865483871
80,0.0149370666667
74,0.0114615121951
13,0.00805719230769
58,0.0116139666667
123,0.01513984375
65,0.0103575555556
121,0.0177405833333
60,0.0105403103448
111,0.0159079615385
148,0.0123346818182
101,0.00975977777778
228,0.0120594285714
93,0.0112861428571
119,0.00749868
112,0.00801097368421
324,0.0182204166667
