avgRoomArea,transError.mean.mean
7977.65771283,0.494097045455
21173.5347899,0.347489733333
624.168754832,0.178033842105
80.8425765625,0.111519571429
1471.88578033,0.135674892857
34.881097464,0.500454518519
2549.50107571,0.483538
1963.40434773,0.314663090909
2780.84323949,0.266804521739
1048.19797,0.136014027027
2295.96385831,0.1602634
722.891074407,0.11330008
238.733433348,0.120517266667
1918.774887,0.168670918919
68.8216068272,0.1753349
6551.51671392,0.250973828571
6943.03896001,0.255138206897
1733.7689016,0.275744352941
35.6467956188,0.550894956522
151.362690548,0.348672047619
99.3657311669,0.556707151515
301.946595142,0.560622653846
121.68372176,0.375646230769
117.729480802,0.493396230769
159.178043584,0.349249866667
159.188760688,0.511895521739
859.936380576,0.3828526
1770.82512649,0.376691423077
91.9816248562,0.2061935
1183.72809077,0.234490727273
1997.3848037,0.250467741935
49524.5924242,0.63580396
469.164697244,0.298866
943.370778453,0.263492076923
42.0407507992,0.279235933333
199.193698175,0.469986628571
788.58765325,0.0827919117647
453.458902845,0.224303125
1693.17206751,0.36068872
5552.49887159,0.297397730769
363.343164941,0.687380423077
1289.36416825,0.594765692308
2951.87623731,0.276685391304
977.277898735,0.26799774359
5426.47434551,0.394348115385
2722.63884182,0.407328592593
1209.03521613,0.301939870968
16879.3303371,0.337777675676
5157.30973711,0.301987178571
15832.5442995,0.381142583333
1087.11846417,0.2053401
1294.3483084,0.16422708
2704.27313193,0.273704222222
4465.17802586,0.42013416
2060.46065176,0.315128875
6566.39327632,0.391206259259
7841.40851591,0.319272923077
1885.83138054,0.283932129032
684.955365045,0.19405875
1404.46439982,0.191225219512
17362.1361915,0.287816464286
5741.66815356,0.3031
202.653527556,0.4451378
3232.68514713,0.236201074074
654.353986368,0.513622636364
1364.62420536,0.154262137931
2100.80696472,0.395215916667
114.824991211,0.2822633125
1050.81706285,0.189719777778
286.445046973,0.513207166667
5620.85672307,0.240103076923
1918.72960961,0.17891308
5899.38741064,0.367190842105
37.5123784326,0.626637846154

5-Fold RMSE:,0.102944931438,0.140046768255,0.160063858184,0.147978161571,0.147978161571
Average 5-Fold RMSE:,0.139926768799

5-Fold rsquared:,-0.118063739326,-0.098355810179,-0.143499795404,-0.157886907966,-0.157886907966
Average 5-Fold rsquared:,-0.110040706363
