topology_numBifurcationPoints,rotError.std.mean
20,0.0196438888889
8,0.0581752916667
12,0.0138309130435
8,0.00848306666667
3,0.00990715789474
2,0.00666489285714
1,0.00854714285714
14,0.0155064516129
4,0.0139629166667
5,0.0146126956522
5,0.00927660869565
3,0.00886394594595
5,0.0103236571429
2,0.00831244
9,0.0120980666667
3,0.00897186111111
4,0.0070672
1,0.00862697142857
9,0.0107663448276
0,0.0146358235294
17,0.0165645
4,0.00871552173913
6,0.0233207058824
5,0.0177865357143
9,0.0435829285714
12,0.0173028571429
1,0.0134678235294
2,0.0117434782609
1,0.0171069
8,0.0210941176471
12,0.00869485714286
10,0.00991634782609
7,0.0162976363636
3,0.01273672
28,0.0216128148148
10,0.0267318666667
15,0.014787
14,0.01558596875
3,0.00887017391304
10,0.0136369583333
9,0.0158112592593
3,0.0110901538462
15,0.016004875
5,0.0116140454545
5,0.0131456666667
22,0.012016
3,0.0138605172414
13,0.0208444333333
5,0.0209096857143
3,0.0136826097561
3,0.0140931785714
12,0.013008
3,0.0124418666667
4,0.0115595416667
7,0.0113095
9,0.01085984
4,0.0133554761905
5,0.0143581333333
3,0.00947095238095
7,0.0113865483871
4,0.01360234375
3,0.0114615121951
3,0.00808462962963
5,0.0116139666667
7,0.01513984375
4,0.0103575555556
6,0.0177405833333
1,0.0105403103448
3,0.0159079615385
11,0.0109016571429
3,0.00975977777778
5,0.0112861428571
4,0.00749868
5,0.00801097368421

5-Fold RMSE:,0.0124635138051,0.00343551507165,0.00383009804707,0.00830876932164,0.00830876932164
Average 5-Fold RMSE:,0.00634289086029

5-Fold rsquared:,0.115203553066,0.153162427207,-1.05931707602,0.0575938612765,0.0575938612765
Average 5-Fold rsquared:,-0.13721844596
