topology_std_betweenness_centrality,transError.numSamples.std
0.132183205558,4574.73377354
0.145977793591,3504.51641908
0.131812264312,4516.12281977
0.148705407271,1068.57195671
0.261716653955,257.853455343
0.230672661023,141.850142792
0.27136021012,182.929460449
0.116264239203,3510.04999446
0.155450271976,3935.77212331
0.20325722398,4927.43898941
0.21845761841,363.803157271
0.242817084083,147.306005198
0.237876959592,2626.374729
0.236624366278,108.084781537
0.20130667256,1084.0791156
0.230386364579,183.153742003
0.239940440847,273.731419461
0.242061459138,642.991734482
0.196231027763,702.453163625
0.471404520791,1510.28589149
0.119075163898,14727.7449601
0.196185373283,2308.33572565
0.148639864971,15286.2712796
0.183840968349,8108.00744572
0.170326124423,2866.01159506
0.16600218961,24073.9681947
0.216662018134,2219.38941949
0.216313212501,8919.29941979
0.223296878269,1725.55951023
0.157060934161,3228.66340734
0.19446755538,308.046732032
0.127201781261,701.623265043
0.146143564105,12253.024445
0.19657591917,5103.87888822
0.0895510295476,12190.977691
0.147003696536,10206.0904135
0.141627662593,1947.88730019
0.124061682032,4006.02426321
0.253892063377,189.939449112
0.127870412379,2139.14201672
0.124401224416,4015.83521781
0.234536156628,968.189122803
0.119381307136,5532.41528027
0.220853420272,1328.17120275
0.212474501198,4913.35122961
0.154702887129,897.213776087
0.16435750178,12782.2996962
0.153122424652,15884.6134701
0.190652239415,3217.32940007
0.219441665803,4350.15152402
0.190940653956,1687.4634671
0.140028695806,2072.14962693
0.208781106226,383.599850828
0.207455882777,2014.30380687
0.217275124316,1917.94562562
0.179934545673,2174.75877982
0.187756497808,1102.42140417
0.179116363595,2925.49410622
0.206867780433,3355.85891523
0.203037036446,490.102011085
0.19173543319,432.474999277
0.234266083914,473.088895362
0.224004288455,606.727838005
0.223461677044,1136.24840985
0.170907443183,4289.42952164
0.21043619028,803.781894131
0.154019596736,1881.63948857
0.237450764678,316.936671506
0.15294041887,2151.72678867
0.124375787197,5518.65907301
0.231525430446,350.849437575
0.158996914607,9293.22106863
0.195480049413,257.78020405
0.177691147017,1433.91482635

5-Fold RMSE:,6307.73091513,2805.03631931,3809.73925367,3882.3041132,3882.3041132
Average 5-Fold RMSE:,4246.80737762

5-Fold rsquared:,0.409373916917,-4.65637546829,0.0927792528,0.128367214981,0.128367214981
Average 5-Fold rsquared:,-0.749700154513
