topology_std_betweenness_centrality,rotError.numSamples.mean
0.132183205558,8502.88888889
0.145977793591,4291.20833333
0.131812264312,5073.26086957
0.148705407271,2208.2
0.261716653955,533.736842105
0.230672661023,281.035714286
0.27136021012,375.75
0.116264239203,3820.06451613
0.155450271976,4729.04166667
0.20325722398,3357.30434783
0.21845761841,1109.95652174
0.242817084083,244.540540541
0.237876959592,830.8
0.236624366278,180.0
0.20130667256,450.733333333
0.230386364579,457.388888889
0.239940440847,628.1
0.242061459138,954.971428571
0.196231027763,914.034482759
0.471404520791,2059.76470588
0.119075163898,8900.875
0.196185373283,2142.7826087
0.148639864971,9951.88235294
0.183840968349,5881.21428571
0.170326124423,3028.03571429
0.16600218961,12817.0714286
0.216662018134,2496.67647059
0.216313212501,8121.34782609
0.223296878269,2459.1
0.157060934161,3998.88235294
0.19446755538,716.857142857
0.127201781261,843.47826087
0.146143564105,3702.36363636
0.19657591917,6648.12
0.0895510295476,4365.44444444
0.147003696536,4280.06666667
0.141627662593,1701.35294118
0.124061682032,3879.09375
0.253892063377,189.695652174
0.127870412379,1054.375
0.124401224416,2765.85185185
0.234536156628,1206.76923077
0.119381307136,6532.5
0.220853420272,3173.27272727
0.212474501198,2456.83333333
0.154702887129,2281.8
0.16435750178,6061.31034483
0.153122424652,8307.2
0.190652239415,2598.6
0.219441665803,3927.24390244
0.190940653956,1492.89285714
0.140028695806,3379.41666667
0.208781106226,655.766666667
0.207455882777,964.583333333
0.217275124316,1611.27777778
0.179934545673,3842.36
0.187756497808,1384.0
0.179116363595,3280.36666667
0.206867780433,2484.47619048
0.203037036446,1119.77419355
0.19173543319,581.0
0.234266083914,510.341463415
0.224004288455,1274.18518519
0.223461677044,1420.46666667
0.170907443183,4234.0625
0.21043619028,754.666666667
0.154019596736,3208.20833333
0.237450764678,407.793103448
0.15294041887,2487.5
0.124375787197,2474.48571429
0.231525430446,609.074074074
0.158996914607,2976.25
0.195480049413,461.08
0.177691147017,1971.81578947

5-Fold RMSE:,3354.47226818,1933.88098662,3130.10396396,2141.24544913,2141.24544913
Average 5-Fold RMSE:,2439.08827113

5-Fold rsquared:,0.300838233394,0.133092032236,0.132061697468,-1.21679847469,-1.21679847469
Average 5-Fold rsquared:,-0.13587048912
