voronoi_avg_betweenness_centrality,rotError.numSamples.std
0.0453083989501,4496.65449768
0.0506431441029,1068.57195671
0.0688565543818,257.853455343
0.0824956165985,141.850142792
0.0912411571598,182.929460449
0.0512248343955,2244.05747734
0.0385499044432,3935.77212331
0.0533682183273,2874.5710625
0.0847704008547,363.803157271
0.101026753682,147.306005198
0.100138696255,2626.374729
0.0960540709486,108.084781537
0.0959134239725,1084.0791156
0.0856861275929,180.818284498
0.0833181465357,273.731419461
0.112872975277,642.991734482
0.0679895520642,702.453163625
0.0467709082677,1510.28589149
0.055920167335,14872.7918784
0.0682366021076,720.79837633
0.0536409255235,9225.92445392
0.0538211780553,3023.39259484
0.0425393134828,2651.41884337
0.0415603204832,24043.8800652
0.0510232807543,1616.41335473
0.072659366777,8919.29941979
0.0848503256724,1725.55951023
0.0649559528436,1863.36560045
0.0723839147691,624.17813537
0.0474747686416,620.469279434
0.0472698785658,857.003410118
0.076188994946,5103.87888822
0.0313445517341,1966.19530209
0.0454936627156,1057.23261059
0.0511352348359,1483.83345876
0.0479590290814,3961.17166175
0.089848269322,165.786311893
0.0560749704341,2139.14201672
0.0530579343746,1428.99660238
0.086418435933,968.189122803
0.049189456212,5433.37490878
0.0737227337282,3842.62601996
0.0905225691265,1817.05743137
0.0702205751345,691.528513091
0.0510723425654,8506.08116752
0.0494197342933,3722.68290681
0.0589674081539,1936.04140841
0.0637462112276,4393.41939757
0.0632373186978,1687.4634671
0.0478339121627,2072.14962693
0.0796291911066,383.599850828
0.0541567842537,786.667567909
0.0824194352595,1917.94562562
0.0622521680655,2174.75877982
0.0650717683523,748.389444073
0.0503509521959,2608.69783514
0.0720605736997,1354.24201138
0.0833692725123,490.102011085
0.0656786745706,432.474999277
0.0642846329887,473.088895362
0.137012987013,597.094712473
0.0982316750719,1136.24840985
0.0588473635416,3100.93252085
0.0797518763449,803.781894131
0.0519919002253,1700.53022844
0.0719211469534,316.936671506
0.0543909260484,2065.32399555
0.0407834101382,1024.40711512
0.0591222769494,350.849437575
0.0419426953002,3504.51641908
0.058391423179,2631.23148885
0.0566914730706,257.78020405
0.0557387498564,1433.91482635
0.0321313931569,4268.01882728

5-Fold RMSE:,2087.03100004,3748.26410379,2332.25160775,1313.90466906,1313.90466906
Average 5-Fold RMSE:,3075.85029577

5-Fold rsquared:,-1.00801257495,-0.113487728727,-0.967311648553,-0.0251627544895,-0.0251627544895
Average 5-Fold rsquared:,-0.40247511174
