avgRoomArea,transError.numSamples.mean
7977.65771283,4854.31818182
21173.5347899,2208.2
624.168754832,533.736842105
80.8425765625,281.035714286
1471.88578033,375.75
34.881097464,2982.96296296
2549.50107571,4729.04166667
1963.40434773,2494.54545455
2780.84323949,1109.95652174
1048.19797,244.540540541
2295.96385831,830.8
722.891074407,180.0
238.733433348,450.733333333
1918.774887,456.135135135
68.8216068272,628.1
6551.51671392,954.971428571
6943.03896001,914.034482759
1733.7689016,2059.76470588
35.6467956188,8438.2173913
151.362690548,1611.28571429
99.3657311669,6025.96969697
301.946595142,4245.57692308
121.68372176,2369.74358974
117.729480802,11003.8461538
159.178043584,2018.0
159.188760688,8121.34782609
859.936380576,2459.1
1770.82512649,2825.15384615
91.9816248562,898.038461538
1183.72809077,845.545454545
1997.3848037,908.161290323
49524.5924242,6648.12
469.164697244,2004.73076923
943.370778453,1650.23076923
42.0407507992,1444.0
199.193698175,4167.25714286
788.58765325,160.676470588
453.458902845,1054.375
1693.17206751,1731.48
5552.49887159,1206.76923077
363.343164941,6763.84615385
1289.36416825,4317.96153846
2951.87623731,1501.82608696
977.277898735,1183.46153846
5426.47434551,4219.69230769
2722.63884182,3851.77777778
1209.03521613,2071.29032258
16879.3303371,3696.67567568
5157.30973711,1492.89285714
15832.5442995,3379.41666667
1087.11846417,655.766666667
1294.3483084,619.76
2704.27313193,1611.27777778
4465.17802586,3842.36
2060.46065176,1278.8
6566.39327632,2906.77777778
7841.40851591,1697.56410256
1885.83138054,1119.77419355
684.955365045,581.0
1404.46439982,510.341463415
17362.1361915,1266.60714286
5741.66815356,1420.46666667
202.653527556,3455.96666667
3232.68514713,754.666666667
654.353986368,2924.18181818
1364.62420536,407.793103448
2100.80696472,2267.29166667
114.824991211,1168.5
1050.81706285,609.074074074
286.445046973,4291.20833333
5620.85672307,1209.07692308
1918.72960961,461.08
5899.38741064,1971.81578947
37.5123784326,8361.53846154

5-Fold RMSE:,1450.22574328,1872.05328973,1657.9484716,3336.62460993,3336.62460993
Average 5-Fold RMSE:,2232.08384139

5-Fold rsquared:,-0.252062946951,-0.0730304034096,-0.394346500854,-0.0609379722867,-0.0609379722867
Average 5-Fold rsquared:,-0.191166866119
