perimeter,rotError.std.std
919.385854688,0.00570813314798
845.094809668,0.00238204213415
400.830204991,0.00443794731193
104.798400009,0.00221181244909
297.255462487,0.00124875791759
175.184877189,0.00692890029398
975.710287307,0.00526352379524
661.864870045,0.00916339305052
461.959330453,0.00109827381314
301.700928702,0.001820392131
395.362041332,0.0115835540733
266.76921056,0.00242628577179
190.183623926,0.00881799279479
384.28900186,0.00156947572306
169.305586218,0.00133593491358
547.895428741,0.0033034977955
663.883925852,0.00427790386373
569.465956684,0.010818340273
277.253593842,0.0073614093577
186.385475943,0.0020421627691
266.853191731,0.00882900353326
251.520417083,0.0056069691509
217.978099666,0.00964521917124
413.568733758,0.0102373131119
161.46910584,0.00694223066048
333.320883456,0.00719629727175
348.726342602,0.00729724936466
582.414195881,0.00941862106525
416.287346717,0.00165015637774
602.450956601,0.00327309840264
625.529006956,0.00344135860057
1411.67024864,0.00431503222254
687.006424965,0.00820748297377
804.802666284,0.038374045582
325.157616123,0.00800000789555
394.105092531,0.00653686665775
254.907573617,0.0030003076901
512.058047582,0.00533292057631
574.390274931,0.00671912860422
577.749460923,0.00480609803905
462.202334131,0.00899802736477
542.151199633,0.00879950207474
607.353417602,0.0034406223505
895.078361009,0.00161564506
810.652971073,0.00646094092521
791.247099826,0.00512121237682
523.504495381,0.00772600753931
642.501394841,0.00810460207062
438.695516966,0.00596216482169
921.061208435,0.00468461053166
425.51985706,0.00290363576381
383.553654629,0.00727200671353
611.004216827,0.00593740494427
1094.05395026,0.0031691424541
396.724658884,0.00360718859354
623.982104305,0.00760278416857
673.355919531,0.00281495176744
614.642509546,0.00295568783369
383.053807066,0.00587875703598
377.554649486,0.00492444947089
798.372831181,0.00274550707465
541.589338691,0.00668196581096
479.641424654,0.00693703706243
562.534496366,0.00651974844058
398.050280897,0.0105001485137
346.945664463,0.00348419817228
629.847164937,0.00672065780498
243.197749682,0.00427584456832
431.988152916,0.0034764729288
476.307895935,0.218382402573
609.954365264,0.0062202472559
446.124179764,0.00201918335413
1033.37498647,0.00303309851547
383.710764507,0.00630615992045

5-Fold RMSE:,0.0548963913536,0.00415972654699,0.0055909096609,0.00870513002845,0.00870513002845
Average 5-Fold RMSE:,0.0158046839097

5-Fold rsquared:,-2.32779925495,-0.0795301009647,-3.77740786798,-0.128062476058,-0.128062476058
Average 5-Fold rsquared:,-1.89479252781
