voronoi_avg_eigenvector_centrality,rotError.numSamples.mean
0.00348930382443,8502.88888889
0.00351487462818,4291.20833333
0.0100393514149,5073.26086957
0.0105135767838,2208.2
0.0172969873425,533.736842105
0.0409830675628,281.035714286
0.0273961100812,375.75
0.00775762679381,3820.06451613
0.00574053025445,4729.04166667
0.00607997285304,3357.30434783
0.0128790084879,1109.95652174
0.017891627974,244.540540541
0.0253591873935,830.8
0.0288269155167,180.0
0.0272922929883,450.733333333
0.0219058444332,457.388888889
0.0297781088292,628.1
0.0309749814202,954.971428571
0.0124757824752,914.034482759
0.00765770647817,2059.76470588
0.00766469551654,8900.875
0.0140504632514,2142.7826087
0.00385958981256,9951.88235294
0.00941447966977,5881.21428571
0.0120101922236,3028.03571429
0.00768026339488,12817.0714286
0.0286332432184,2496.67647059
0.0137519009375,8121.34782609
0.0321153716336,2459.1
0.0117639351235,3998.88235294
0.0102993499896,716.857142857
0.00831972874981,843.47826087
0.00813539809992,3702.36363636
0.0103366706799,6648.12
0.00323439217057,4365.44444444
0.00533722428878,4280.06666667
0.00771167569822,1701.35294118
0.00884825240827,3879.09375
0.0385411562993,189.695652174
0.0125414231222,1054.375
0.013397586622,2765.85185185
0.0195939573205,1206.76923077
0.00617839133906,6532.5
0.00780794728565,3173.27272727
0.0172809652214,2456.83333333
0.00757861267376,2281.8
0.00720516326982,6061.31034483
0.00830849954476,8307.2
0.0193714444817,2598.6
0.00863855085793,3927.24390244
0.0157857386681,1492.89285714
0.00954335364902,3379.41666667
0.0189069640465,655.766666667
0.0181565375695,964.583333333
0.0127487196601,1611.27777778
0.00943801405487,3842.36
0.0123575452517,1384.0
0.0092119796945,3280.36666667
0.0152906308222,2484.47619048
0.0110621006247,1119.77419355
0.0107519721017,581.0
0.0109688701912,510.341463415
0.109089022235,1274.18518519
0.0164346608041,1420.46666667
0.00825178595754,4234.0625
0.0162847765897,754.666666667
0.00727309513956,3208.20833333
0.0159238280504,407.793103448
0.00813813888448,2487.5
0.0113764647388,2474.48571429
0.0145323256063,609.074074074
0.014957737734,2976.25
0.011737521707,461.08
0.00855386841229,1971.81578947

5-Fold RMSE:,2562.75785822,2236.94946777,4158.5071882,2054.6673574,2054.6673574
Average 5-Fold RMSE:,2515.13421058

5-Fold rsquared:,-1.58023353138,0.282944429714,-0.166790464211,0.0393300255115,0.0393300255115
Average 5-Fold rsquared:,-0.33624349352
