topology_std_katz_centrality,transError.numSamples.std
0.0387865986683,4574.73377354
0.0530163414747,3504.51641908
0.0358111856313,4516.12281977
0.0506179618926,1068.57195671
0.0370978935435,257.853455343
0.0184651276566,141.850142792
0.0653190067095,182.929460449
0.0504062668326,3510.04999446
0.0625156345542,3935.77212331
0.0388418335422,4927.43898941
0.0395175482926,363.803157271
0.0371844136274,147.306005198
0.0329104586004,2626.374729
0.0470111349754,108.084781537
0.0490530355055,1084.0791156
0.0680701689278,183.153742003
0.0500539590932,273.731419461
0.0686054740205,642.991734482
0.032395127214,702.453163625
0.0239938583583,1510.28589149
0.047552149884,14727.7449601
0.0560533106338,2308.33572565
0.0595870605781,15286.2712796
0.0665161870029,8108.00744572
0.0631969735004,2866.01159506
0.0343501102959,24073.9681947
0.0586605327873,2219.38941949
0.0509329526464,8919.29941979
0.0697491703081,1725.55951023
0.0415496602463,3228.66340734
0.023963572233,308.046732032
0.0415899045816,701.623265043
0.0447742735529,12253.024445
0.0458339228496,5103.87888822
0.0303695030845,12190.977691
0.049173358584,10206.0904135
0.0440867661807,1947.88730019
0.0346914349788,4006.02426321
0.0441262535518,189.939449112
0.0363263127109,2139.14201672
0.0327402912611,4015.83521781
0.0482392301694,968.189122803
0.0281128168704,5532.41528027
0.0343000566012,1328.17120275
0.0447871510946,4913.35122961
0.0296030675798,897.213776087
0.0522435943348,12782.2996962
0.0365337137694,15884.6134701
0.0454501425725,3217.32940007
0.040361653923,4350.15152402
0.0528229880672,1687.4634671
0.0273936875411,2072.14962693
0.0456512079203,383.599850828
0.0578577906099,2014.30380687
0.0395871278775,1917.94562562
0.0352676352131,2174.75877982
0.052747219677,1102.42140417
0.0455697766838,2925.49410622
0.0313893001367,3355.85891523
0.0283957294271,490.102011085
0.0395253805847,432.474999277
0.0426244761908,473.088895362
0.0375295099882,606.727838005
0.0310919217409,1136.24840985
0.0348802179017,4289.42952164
0.036060369536,803.781894131
0.0596202838132,1881.63948857
0.0681206797005,316.936671506
0.0517742245605,2151.72678867
0.0545557900803,5518.65907301
0.0448375412368,350.849437575
0.0528453814189,9293.22106863
0.0539921295437,257.78020405
0.0505610093885,1433.91482635

5-Fold RMSE:,2906.50236294,3140.63496625,3883.28147157,5041.16019298,5041.16019298
Average 5-Fold RMSE:,4497.50946867

5-Fold rsquared:,-0.050555590454,-0.0800844363026,-0.0463180943786,-0.0545833789226,-0.0545833789226
Average 5-Fold rsquared:,-0.137852531068
