voronoi_avg_closeness_centrality,rotError.numSamples.mean
0.0829681026723,4854.31818182
0.0792384190845,2208.2
0.0798824288546,533.736842105
0.178437489832,281.035714286
0.111079156429,375.75
0.0829357773374,2982.96296296
0.0635474330535,4729.04166667
0.0627819242078,2494.54545455
0.070759448798,1109.95652174
0.0847485271117,244.540540541
0.0911718928997,830.8
0.121065388922,180.0
0.120524288794,450.733333333
0.0966926435271,456.135135135
0.130293676296,628.1
0.119034100862,954.971428571
0.0633096270436,914.034482759
0.0716879263894,2059.76470588
0.0626132509807,8438.2173913
0.0884732603304,1611.28571429
0.0418780662733,6025.96969697
0.0745168063384,4245.57692308
0.108537964332,2369.74358974
0.0689598898793,11003.8461538
0.12870857214,2018.0
0.0852834013798,8121.34782609
0.126092060057,2459.1
0.0607268432365,2825.15384615
0.0613436786713,898.038461538
0.0713487155756,845.545454545
0.0716179077184,908.161290323
0.0677186188063,6648.12
0.0583282349173,2004.73076923
0.0511601522691,1650.23076923
0.0630304264848,1444.0
0.0576403296223,4167.25714286
0.134849739205,160.676470588
0.0787934053944,1054.375
0.0784116989904,1731.48
0.10438803755,1206.76923077
0.0621938106869,6763.84615385
0.0459685102702,4317.96153846
0.0833470642953,1501.82608696
0.0668233399598,1183.46153846
0.0674685943723,4219.69230769
0.066160655136,3851.77777778
0.086124372711,2071.29032258
0.0670963269855,3696.67567568
0.0860557798913,1492.89285714
0.0743900151433,3379.41666667
0.0848779173114,655.766666667
0.0957811074698,619.76
0.0804055982337,1611.27777778
0.0602154793258,3842.36
0.0849009471958,1278.8
0.0764866089586,2906.77777778
0.0838354988579,1697.56410256
0.0620173042545,1119.77419355
0.0854679083625,581.0
0.089826724729,510.341463415
0.276990231888,1266.60714286
0.0799232574825,1420.46666667
0.0653665559372,3455.96666667
0.0828839962515,754.666666667
0.0752682157962,2924.18181818
0.105127732991,407.793103448
0.0763646154256,2267.29166667
0.0824425675438,1168.5
0.0764803546915,609.074074074
0.0502815796087,4291.20833333
0.0840568168315,1209.07692308
0.0692964768629,461.08
0.0778106496485,1971.81578947
0.047644843881,8361.53846154

5-Fold RMSE:,1921.81507419,2839.8187907,1755.74492303,2575.017898,2575.017898
Average 5-Fold RMSE:,2102.8423147

5-Fold rsquared:,0.137354140747,0.176645427335,-1.21406907647,0.0882809133094,0.0882809133094
Average 5-Fold rsquared:,-0.140071759091
