avgRoomPerimeter,transError.std.mean
1364.92084998,0.597974409091
2504.05291544,0.3833542
397.608743609,0.198447578947
158.574001973,0.12269
635.88614888,0.153758035714
108.968542951,0.443964518519
1528.34984877,0.531760416667
759.248936383,0.402073772727
907.63600807,0.30601326087
529.397177254,0.133319189189
720.429585269,0.194677542857
443.595373769,0.11035772
231.338538533,0.139761666667
655.562672363,0.178360027027
162.29472605,0.2198439
1446.42707976,0.243437428571
1054.23420007,0.256086724138
539.066583437,0.338521882353
99.2869208384,0.583932391304
252.355785617,0.325802619048
191.722481992,0.59423269697
379.091758694,0.577431384615
262.262352826,0.38375874359
191.601876363,0.698436384615
294.819744545,0.3659623
252.559291854,0.690604043478
632.972242461,0.404276533333
707.007128463,0.441453846154
152.416788175,0.237735884615
511.089909024,0.225124575758
855.595083334,0.256219483871
3522.51982697,0.65674012
345.9363477,0.358577384615
650.998139899,0.362996384615
120.176589697,0.287370933333
264.066070953,0.50726
462.675505543,0.0964399411765
381.143373035,0.236416833333
758.966768091,0.35981112
1344.71238759,0.273577115385
351.259423682,0.702296269231
575.918221531,0.558222807692
973.132170798,0.282527217391
557.871193445,0.292004974359
1503.33670222,0.441571769231
774.553634232,0.501131740741
555.98246505,0.346335935484
2161.19207626,0.466183297297
1410.68850812,0.309707785714
2284.5563757,0.503770083333
511.212845367,0.218116833333
630.752429175,0.1932868
894.483397546,0.310407555556
1099.36562113,0.50208644
630.451496107,0.29558275
1194.83545134,0.442420407407
1792.08753811,0.337067487179
525.16858287,0.286365322581
391.018440217,0.19540578125
645.16136179,0.171382926829
2075.92330798,0.327402357143
1164.69698299,0.287927933333
248.223687618,0.466749133333
874.059231919,0.224714148148
470.90808455,0.483949818182
527.296427239,0.153626448276
844.944967104,0.380862583333
219.335679185,0.2900733125
558.011810887,0.203370592593
288.41201767,0.522405666667
1406.85593365,0.237020576923
682.400594462,0.17280424
2023.67071564,0.366907921053
112.337263592,0.789124346154

5-Fold RMSE:,0.173297023803,0.199410729994,0.174856236071,0.128741361269,0.128741361269
Average 5-Fold RMSE:,0.16629586038

5-Fold rsquared:,-0.0868281018358,0.0270580838339,-0.0257119555196,0.00669890681434,0.00669890681434
Average 5-Fold rsquared:,-0.00563692073277
