topology_radius,transError.numSamples.std
4,4574.73377354
3,3504.51641908
4,4516.12281977
3,1068.57195671
3,257.853455343
3,141.850142792
1,182.929460449
3,3510.04999446
3,3935.77212331
4,4927.43898941
3,363.803157271
3,147.306005198
3,2626.374729
3,108.084781537
3,1084.0791156
1,183.153742003
2,273.731419461
1,642.991734482
4,702.453163625
1,1510.28589149
3,14727.7449601
2,2308.33572565
3,15286.2712796
2,8108.00744572
2,2866.01159506
3,24073.9681947
2,2219.38941949
2,8919.29941979
1,1725.55951023
4,3228.66340734
7,308.046732032
4,701.623265043
3,12253.024445
4,5103.87888822
5,12190.977691
4,10206.0904135
4,1947.88730019
4,4006.02426321
2,189.939449112
4,2139.14201672
4,4015.83521781
2,968.189122803
5,5532.41528027
3,1328.17120275
3,4913.35122961
6,897.213776087
2,12782.2996962
4,15884.6134701
4,3217.32940007
2,4350.15152402
2,1687.4634671
4,2072.14962693
2,383.599850828
3,2014.30380687
3,1917.94562562
4,2174.75877982
3,1102.42140417
4,2925.49410622
3,3355.85891523
5,490.102011085
3,432.474999277
2,473.088895362
3,606.727838005
3,1136.24840985
4,4289.42952164
3,803.781894131
2,1881.63948857
1,316.936671506
3,2151.72678867
3,5518.65907301
3,350.849437575
3,9293.22106863
3,257.78020405
3,1433.91482635

5-Fold RMSE:,4039.23354653,4842.21679165,4418.49847041,2873.42998901,2873.42998901
Average 5-Fold RMSE:,4454.07311229

5-Fold rsquared:,-0.0200280228365,-0.0354385839734,-0.109146521149,-0.790389278458,-0.790389278458
Average 5-Fold rsquared:,-0.183423926094
