topology_density,rotError.numSamples.mean
0.0585365853659,4854.31818182
0.106666666667,2208.2
0.166666666667,533.736842105
0.222222222222,281.035714286
0.181818181818,375.75
0.0582793709528,2982.96296296
0.0611664295875,4729.04166667
0.0942028985507,2494.54545455
0.134502923977,1109.95652174
0.133333333333,244.540540541
0.117647058824,830.8
0.142857142857,180.0
0.183333333333,450.733333333
0.158333333333,456.135135135
0.171428571429,628.1
0.125,954.971428571
0.1,914.034482759
0.666666666667,2059.76470588
0.0619796484736,8438.2173913
0.122807017544,1611.28571429
0.0542635658915,6025.96969697
0.0984615384615,4245.57692308
0.100985221675,2369.74358974
0.0659536541889,11003.8461538
0.105263157895,2018.0
0.1,8121.34782609
0.105263157895,2459.1
0.0827586206897,2825.15384615
0.0630630630631,898.038461538
0.0690690690691,845.545454545
0.0655462184874,908.161290323
0.08,6648.12
0.0460829493088,2004.73076923
0.0550724637681,1650.23076923
0.0505319148936,1444.0
0.0475113122172,4167.25714286
0.166666666667,160.676470588
0.0602564102564,1054.375
0.070564516129,1731.48
0.117647058824,1206.76923077
0.0592334494774,6763.84615385
0.0909090909091,4317.96153846
0.109523809524,1501.82608696
0.0570048309179,1183.46153846
0.0689655172414,4219.69230769
0.0641025641026,3851.77777778
0.0826210826211,2071.29032258
0.111111111111,3696.67567568
0.15,1492.89285714
0.0911680911681,3379.41666667
0.0952380952381,655.766666667
0.110526315789,619.76
0.102766798419,1611.27777778
0.0611664295875,3842.36
0.0905797101449,1278.8
0.0866666666667,2906.77777778
0.105263157895,1697.56410256
0.0712643678161,1119.77419355
0.0952380952381,581.0
0.125,510.341463415
0.105263157895,1266.60714286
0.117647058824,1420.46666667
0.0621848739496,3455.96666667
0.0952380952381,754.666666667
0.0804597701149,2924.18181818
0.141666666667,407.793103448
0.0585585585586,2267.29166667
0.0773109243697,1168.5
0.141666666667,609.074074074
0.0557491289199,4291.20833333
0.0978260869565,1209.07692308
0.122807017544,461.08
0.0804597701149,1971.81578947
0.090756302521,8361.53846154

5-Fold RMSE:,2032.03467401,2189.12310206,4569.14951702,2569.44599683,2569.44599683
Average 5-Fold RMSE:,2613.98311301

5-Fold rsquared:,0.0391716473595,0.217563238326,-4.11543579857,-0.0531924465079,-0.0531924465079
Average 5-Fold rsquared:,-0.768221538287
