traversalTime,rotError.std.mean
2035.82864252,0.0196438888889
2080.31115619,0.0581752916667
1349.09985599,0.0138309130435
919.718726924,0.00848306666667
419.663612797,0.00990715789474
211.703543676,0.00666489285714
265.490773911,0.00854714285714
1173.06783952,0.0155064516129
1490.99507567,0.0139629166667
841.175649661,0.0146126956522
512.459790786,0.00927660869565
183.023661923,0.00886394594595
288.952643527,0.0103236571429
191.014634059,0.00831244
162.313862645,0.0120980666667
384.763332574,0.00897186111111
546.868433022,0.0070672
384.284799509,0.00862697142857
1093.28515564,0.0107663448276
823.369821087,0.0146358235294
1603.67256076,0.0165645
726.421235223,0.00871552173913
1455.54715772,0.0233207058824
1342.9430314,0.0177865357143
608.712541442,0.0435829285714
1371.34741951,0.0173028571429
550.763056801,0.0134678235294
1001.59400158,0.0117434782609
498.802202458,0.0171069
951.22385554,0.0210941176471
633.149187702,0.00869485714286
808.608614515,0.00991634782609
897.190026783,0.0162976363636
1578.35836762,0.01273672
918.534020399,0.0216128148148
1008.03211816,0.0267318666667
870.931728251,0.014787
1371.33686714,0.01558596875
274.928270325,0.00887017391304
658.752298095,0.0136369583333
750.178214424,0.0158112592593
510.678711028,0.0110901538462
1567.27616653,0.016004875
1367.57529848,0.0116140454545
492.886623007,0.0131456666667
740.557101864,0.012016
1069.35769226,0.0138605172414
1006.22432177,0.0208444333333
520.067365763,0.0209096857143
717.088483789,0.0136826097561
354.772213719,0.0140931785714
1193.67522752,0.013008
439.245777626,0.0124418666667
431.491340742,0.0115595416667
425.603880936,0.0113095
1025.57459113,0.01085984
589.758911653,0.0133554761905
656.952316561,0.0143581333333
754.01694709,0.00947095238095
699.590611899,0.0113865483871
484.299613589,0.01360234375
339.901939934,0.0114615121951
205.223499199,0.00808462962963
609.45010448,0.0116139666667
1187.28583886,0.01513984375
639.103357547,0.0103575555556
874.938568522,0.0177405833333
285.340344762,0.0105403103448
870.904226907,0.0159079615385
731.103227949,0.0109016571429
618.684245989,0.00975977777778
786.534337607,0.0112861428571
653.648966259,0.00749868
1138.67499527,0.00801097368421

5-Fold RMSE:,0.00478615521787,0.00361386669196,0.00929508951091,0.00374099182743,0.00374099182743
Average 5-Fold RMSE:,0.00641239644108

5-Fold rsquared:,-0.516759906323,0.0663873835881,-0.207050752533,0.245104717619,0.245104717619
Average 5-Fold rsquared:,-0.00164445912515
