roomPerimeter,rotError.std.std
1588.62791478,0.00544283981045
1351.09384402,0.00238204213415
458.622966465,0.00443794731193
125.926169628,0.00221181244909
302.601396954,0.00124875791759
501.062394277,0.00670812510145
1837.42341771,0.00526352379524
688.861804167,0.00913242766636
662.793955846,0.00109827381314
345.129490021,0.001820392131
456.293929549,0.0115835540733
315.925559425,0.00242628577179
243.357074819,0.00881799279479
409.663330218,0.00155158807808
203.831915727,0.00133593491358
608.510749633,0.0033034977955
811.724322072,0.00457690250041
789.405453777,0.010818340273
498.214112703,0.00939720652641
349.485622363,0.00241009476396
623.087494685,0.00935003691155
506.227250231,0.0239013077489
469.640967896,0.0967031592699
470.629120514,0.0235713891725
343.406315926,0.00693154786835
349.626511091,0.00719629727175
503.178792264,0.00729724936466
824.277775057,0.00928123177602
481.48305766,0.00146296711826
859.077312371,0.00345204746565
1023.76949412,0.0235237306324
1483.77049838,0.00431503222254
1208.95867135,0.0109164373752
1173.67459887,0.0384564311949
537.162909983,0.0101640285899
845.005713505,0.0060490277033
279.62861162,0.00237160519209
780.915742482,0.00513266581564
909.128599512,0.00798833628714
623.395444333,0.00480609803905
787.160481335,0.00931314053418
551.960813093,0.0035854966117
655.096395443,0.0090749635613
1086.4876646,0.00197943739482
1357.05101607,0.00752716726779
1113.23214774,0.0245157322818
636.640571297,0.0131644023743
883.283838598,0.00816947942897
638.505269241,0.00596216482169
1290.51989442,0.00530810796887
474.810346145,0.00290363576381
502.295701425,0.00562260485523
687.882051882,0.00593740494427
1293.11063322,0.0031691424541
602.61103687,0.00408505580913
864.15979835,0.0074098626606
846.661098224,0.00358325893136
687.49670878,0.00295568783369
454.8062828,0.00524304033256
406.40042891,0.00492444947089
865.683726415,0.00284535658194
580.17017166,0.00668196581096
551.429068269,0.00806206474837
620.854347876,0.00651974844058
651.012500721,0.0102982308024
367.406975129,0.00348419817228
1075.51367261,0.00773341395644
533.159488544,0.00707002400913
377.956377889,0.0034764729288
747.238694267,0.00413643864616
900.193877884,0.0129904271285
496.333168951,0.00201918335413
1394.54206022,0.00303309851547
837.315270419,0.00469485154998
