voronoi_avg_katz_centrality,transError.numSamples.mean
0.00195573996648,8502.88888889
0.00330166049308,4291.20833333
0.00183164127162,5073.26086957
0.000837312826764,2208.2
0.00394092941488,533.736842105
0.00145841446799,281.035714286
0.0146319223525,375.75
0.0107227141849,3820.06451613
0.00212796668099,4729.04166667
0.000985497287792,3357.30434783
0.00675703959429,1109.95652174
0.00394697265736,244.540540541
0.00313283454443,830.8
0.00463081790692,180.0
0.014956869664,450.733333333
0.00721128299575,457.388888889
0.00749939520562,628.1
0.0099007638193,954.971428571
0.00567615536378,914.034482759
0.00522130790338,2059.76470588
0.00425521588337,8900.875
0.021034321157,2142.7826087
0.00237931914125,9951.88235294
0.00620759969978,5881.21428571
0.0136513798415,3028.03571429
0.00183923477374,12817.0714286
0.00819877290375,2496.67647059
0.0115555452936,8121.34782609
0.018545199377,2459.1
0.00263691501963,3998.88235294
0.00677245448604,716.857142857
0.005195100978,843.47826087
0.00473407332978,3702.36363636
0.0125305043955,6648.12
0.000137398924846,4365.44444444
0.000464141250352,4280.06666667
0.00349157537483,1701.35294118
0.00172767015839,3879.09375
0.000428806088121,189.695652174
0.00507480131819,1054.375
0.00414675006167,2765.85185185
0.0118453240216,1206.76923077
0.00305737359108,6532.5
0.00165416922011,3173.27272727
0.00368457372095,2456.83333333
0.00813047107868,2281.8
0.00470260844059,6061.31034483
0.00337661950533,8307.2
0.00454144763295,2598.6
0.00687453878969,3927.24390244
0.00612971140873,1492.89285714
0.00267346179467,3379.41666667
0.00264952251783,655.766666667
0.00304978048946,964.583333333
0.00683271156337,1611.27777778
0.00269504009836,3842.36
0.0132370052728,1384.0
0.00593057110261,3280.36666667
0.00819487385135,2484.47619048
0.00445588535513,1119.77419355
0.00310224192568,581.0
0.00668719690136,510.341463415
0.061080293104,1274.18518519
0.0106672029474,1420.46666667
0.00276541182543,4234.0625
0.00822004045619,754.666666667
0.000254586441506,3208.20833333
0.00175031397817,407.793103448
0.00249469745735,2487.5
0.00541741932639,2474.48571429
0.00457633157256,609.074074074
0.00770788343339,2976.25
0.00232036210858,461.08
9.65147538731e-05,1971.81578947

5-Fold RMSE:,3056.58411202,3441.58851423,1669.379637,2454.08504407,2454.08504407
Average 5-Fold RMSE:,2532.64978045

5-Fold rsquared:,-0.0272023905782,-0.0455379247993,-0.179420008423,-0.536547439578,-0.536547439578
Average 5-Fold rsquared:,-0.154306744109
