topology_radius,rotError.std.std
4,0.00568699616952
3,0.218382402573
4,0.00580885788305
3,0.00238204213415
3,0.00443794731193
3,0.00221181244909
1,0.00124875791759
3,0.00670812510145
3,0.00526352379524
4,0.00913242766636
3,0.00109827381314
3,0.001820392131
3,0.0115835540733
3,0.00242628577179
3,0.00881799279479
1,0.00155158807808
2,0.00133593491358
1,0.0033034977955
4,0.00427790386373
1,0.010818340273
3,0.00939720652641
2,0.00241009476396
3,0.0296182606338
2,0.0239013077489
2,0.0967031592699
3,0.0220331329296
2,0.00693154786835
2,0.00719629727175
1,0.00729724936466
4,0.00928123177602
7,0.00146296711826
4,0.00345204746565
3,0.0235237306324
4,0.00431503222254
5,0.0109164373752
4,0.0384564311949
4,0.0101640285899
4,0.0060490277033
2,0.00237160519209
4,0.00533292057631
4,0.00798833628714
2,0.00480609803905
5,0.00931314053418
3,0.0035854966117
3,0.0090749635613
6,0.00197943739482
2,0.00752716726779
4,0.0245157322818
4,0.0131644023743
2,0.00816947942897
2,0.00596216482169
4,0.00468461053166
2,0.00290363576381
3,0.00664701953873
3,0.00593740494427
4,0.0031691424541
3,0.00408505580913
4,0.0074098626606
3,0.00358325893136
5,0.00295568783369
3,0.00587875703598
2,0.00492444947089
3,0.00279567043769
3,0.00668196581096
4,0.00806206474837
3,0.00651974844058
2,0.0102982308024
1,0.00348419817228
3,0.00773341395644
3,0.00606781674054
3,0.0034764729288
3,0.0129904271285
3,0.00201918335413
3,0.00303309851547

5-Fold RMSE:,0.00996261088058,0.00810396298056,0.00964658125346,0.00882567448615,0.00882567448615
Average 5-Fold RMSE:,0.0196136837786

5-Fold rsquared:,-0.103961563864,-1.03136592529,-1.55299445696,-0.0181328222256,-0.0181328222256
Average 5-Fold rsquared:,-1.7293286466
