voronoi_traversal_distance,transError.std.std
1349.09985599,0.226872799473
919.718726924,0.0888341978949
419.663612797,0.0536568207547
211.703543676,0.0531756045959
265.490773911,0.0388866547706
1173.06783952,0.156091446153
1490.99507567,0.204774691356
841.175649661,0.189473879231
512.459790786,0.0429963941514
183.023661923,0.0500640527086
288.952643527,0.160692173355
191.014634059,0.0364422115207
162.313862645,0.115579807708
384.763332574,0.0365550743802
546.868433022,0.0491585794691
384.284799509,0.0890782760547
1093.28515564,0.0933187599678
823.369821087,0.138087316178
1603.67256076,0.258353516079
726.421235223,0.0779121061829
1455.54715772,0.259494989064
1342.9430314,0.214149069586
608.712541442,0.160472378798
1371.34741951,0.578481679757
550.763056801,0.14193715639
1001.59400158,0.390698889866
498.802202458,0.145785206544
951.22385554,0.196101691352
633.149187702,0.0540020208264
808.608614515,0.0639730578518
897.190026783,0.0642383791162
1578.35836762,0.258741211908
918.534020399,0.131888311652
1008.03211816,0.126072926139
870.931728251,0.124697260981
1371.33686714,0.192108034661
274.928270325,0.0517409309399
658.752298095,0.150426578073
750.178214424,0.141387393986
510.678711028,0.0819226964463
1567.27616653,0.284322556163
1367.57529848,0.268748777682
492.886623007,0.0698040570684
740.557101864,0.0777311359681
1069.35769226,0.221015525555
1006.22432177,0.170190402896
520.067365763,0.10685390071
717.088483789,0.237490765274
354.772213719,0.110170635227
1193.67522752,0.172007018126
439.245777626,0.0621497895481
431.491340742,0.110615023941
425.603880936,0.126944549297
1025.57459113,0.109794391941
589.758911653,0.0809823194632
656.952316561,0.12386252947
754.01694709,0.0966363792344
699.590611899,0.064450068138
484.299613589,0.0692099506632
339.901939934,0.075847820682
205.223499199,0.113532147819
609.45010448,0.129796983767
1187.28583886,0.192206970562
639.103357547,0.105334107197
874.938568522,0.145524364411
285.340344762,0.0596299714663
870.904226907,0.130217601143
731.103227949,0.0974594238893
618.684245989,0.0743403423368
2080.31115619,0.167837658831
786.534337607,0.168709916846
653.648966259,0.0562958637779
1138.67499527,0.116143743091
2035.82864252,0.206076064429

5-Fold RMSE:,0.0599397483264,0.105058167093,0.0389944363321,0.0749829509277,0.0749829509277
Average 5-Fold RMSE:,0.0650020345315

5-Fold rsquared:,0.392080192038,0.625126042864,0.162801621212,0.750730737301,0.750730737301
Average 5-Fold rsquared:,0.428008384156
