topology_radius,transError.mean.std
4,0.187622165382
3,0.117509395197
4,0.150879627982
3,0.0626106276575
3,0.0363222141704
3,0.0240230927776
1,0.0231752964896
3,0.244942705536
3,0.118403445404
4,0.25684750383
3,0.0468835943002
3,0.0525575836354
3,0.0652650350355
3,0.0380406378831
3,0.048698079138
1,0.0471928668924
2,0.015699391456
1,0.0795487657361
4,0.0609893108178
1,0.0634488000674
3,0.157331633444
2,0.225853461955
3,0.335983825039
2,0.192289958812
2,0.0925116985357
3,0.173005460782
2,0.150862439925
2,0.113382526137
1,0.0940625752148
4,0.228409668405
7,0.0484971177734
4,0.0700468458533
3,0.287812908678
4,0.109859637786
5,0.30823195051
4,0.251954545215
4,0.158847840005
4,0.112238353718
2,0.0402882774962
4,0.0825251437691
4,0.1264444763
2,0.0703616797672
5,0.114763250904
3,0.0896356459078
3,0.185040710074
6,0.14370205831
2,0.281651273406
4,0.217198105027
4,0.0868164172079
2,0.121972989288
2,0.0844506183324
4,0.0812632064472
2,0.0478290808047
3,0.165411061738
3,0.063039235743
4,0.0862053699096
3,0.123650418782
4,0.166220167829
3,0.205108169667
5,0.067525357097
3,0.0711609699581
2,0.0754858045801
3,0.0664587250454
3,0.06593977187
4,0.17018166168
3,0.060063217006
2,0.14039673261
1,0.0600886637503
3,0.141798879212
3,0.259118831645
3,0.0554747715395
3,0.22720282762
3,0.0490437767207
3,0.0852449136299

5-Fold RMSE:,0.0727562869102,0.0730808631851,0.0545305672718,0.0970684407786,0.0970684407786
Average 5-Fold RMSE:,0.0779268782339

5-Fold rsquared:,0.0638590461335,-0.0512836869928,-0.358305220646,0.0271562635346,0.0271562635346
Average 5-Fold rsquared:,-0.0844277793096
