wallRatio,rotError.std.mean
95.5085578123,0.0134886818182
58.5,0.00848306666667
259.861982598,0.00990715789474
79.1568064035,0.00666489285714
156.077544829,0.00854714285714
254.000492126,0.0154531111111
107.75,0.0139629166667
85.0,0.0142382727273
150.372087523,0.00927660869565
116.372247551,0.00886394594595
79.9034139168,0.0103236571429
152.105884173,0.00831244
140.405128111,0.0120980666667
70.2032762768,0.00902981081081
111.803398875,0.0070672
52.3333333333,0.00862697142857
159.476547589,0.0107663448276
107.12901101,0.0146358235294
75.0,0.0153069130435
85.5,0.00836128571429
82.2192191644,0.0141560606061
85.6692606611,0.0130143076923
146.017550315,0.0213154358974
42.5,0.0118386923077
40.7940417972,0.0129007
116.833333333,0.0117434782609
54.6829244118,0.0171069
195.799193881,0.0201348076923
52.3630080819,0.00883107692308
72.7590861363,0.00979857575758
137.333434466,0.0108434193548
195.0,0.01273672
57.795023193,0.0201676538462
62.8,0.0242387692308
64.1950153828,0.0134642666667
47.3333333333,0.0164263142857
134.713399482,0.008347
75.894663844,0.0136369583333
64.2505870093,0.0145126
64.8333333333,0.0110901538462
113.5,0.0162626538462
59.6003355695,0.0139900769231
116.659635642,0.0113885652174
75.5,0.00808025641026
61.75,0.0127977692308
119.221642331,0.0142507037037
100.215345056,0.0175852258065
113.84243497,0.0131790810811
100.762716319,0.0140931785714
108.5,0.013008
61.0,0.0124418666667
69.3375245282,0.01217428
162.786363065,0.0113095
60.9924333264,0.01085984
276.335142736,0.013217275
125.858650875,0.0138498148148
136.792027631,0.00906033333333
170.018165119,0.0113865483871
186.752431278,0.01360234375
94.2,0.0114615121951
121.115647214,0.00809121428571
125.858650875,0.0116139666667
69.0004528971,0.0140091666667
60.5556574923,0.0103575555556
54.7144722115,0.0173899090909
76.8259771772,0.0105403103448
56.5108006335,0.0152154583333
185.4,0.00999909375
39.8571428571,0.00975977777778
68.2,0.0581752916667
88.2524787187,0.00897219230769
103.815447111,0.00749868
359.666821131,0.00801097368421
82.25,0.0207175

5-Fold RMSE:,0.00418203231021,0.00447151142196,0.00336148508027,0.0036972203492,0.0036972203492
Average 5-Fold RMSE:,0.00561871677451

5-Fold rsquared:,-0.0397336862894,-0.0522640740089,0.00388787966337,-0.397816950252,-0.397816950252
Average 5-Fold rsquared:,-0.108209256624
