totalLength,rotError.mean.mean
3674.54685049,0.00804769565217
2587.25446388,0.00518106666667
409.860183458,0.00745268421053
252.832909534,0.00380332142857
326.784256607,0.00530514285714
1921.35516902,0.0113298387097
2116.13492361,0.0100377916667
863.659269329,0.00991973913043
845.090021745,0.00654347826087
295.419139725,0.00574740540541
506.321896435,0.0063216
273.457946693,0.00609472
192.066214539,0.00695146666667
468.518403292,0.00522869444444
580.535894357,0.00419643333333
971.378772283,0.00586774285714
1560.66008532,0.00836370833333
1049.93660782,0.00957582352941
3024.90660293,0.0118060833333
1742.8522031,0.00680830434783
3575.26025392,0.00944403448276
4286.82971454,0.0102644642857
711.361982324,0.0246713571429
4268.08811365,0.00765891666667
2215.28095863,0.00877191176471
2674.03601278,0.00719391304348
889.381270016,0.0116620333333
994.439580994,0.0221704705882
566.001197687,0.00773861904762
713.219408102,0.0076692173913
1004.70151857,0.0124832272727
2298.96506651,0.0090522
1290.05514031,0.0147335925926
1093.26611061,0.0128114
1073.65959346,0.0131788235294
2379.8461839,0.0105658125
207.214315708,0.00586613043478
771.205630617,0.01122375
1344.58232881,0.010821
876.168728003,0.00736969230769
3949.82841384,0.012007125
1857.94252615,0.00962695454545
888.639718829,0.0105803333333
1481.43084603,0.0089074
2298.11261206,0.0112168965517
2193.73950998,0.0137696
786.593346386,0.0132841714286
2003.81513074,0.0079603902439
637.726898906,0.0102650357143
3079.17730674,0.00904714285714
500.537324732,0.0111931666667
616.55068905,0.0101992222222
1035.09066139,0.00787177777778
2396.14078511,0.0083908
577.123513651,0.0134036428571
1415.71363081,0.0111335666667
1392.02208715,0.00665304761905
972.933103525,0.0100887741935
489.59582335,0.0131854666667
382.17641299,0.0108286829268
1749.99175816,0.00526592307692
916.588301973,0.0074369
2114.07410152,0.01176809375
891.481124196,0.00650085185185
2342.27101469,0.0117556666667
330.137152444,0.00662575862069
1479.91948991,0.0114198846154
1173.44602032,0.00877604545455
602.963843177,0.00717885185185
3519.11086095,0.00882771428571
1016.39541288,0.00862746428571
693.217716208,0.00584372
2034.8306002,0.0060295
2694.36835452,0.0138904166667
