topology_avg_eigenvector_centrality,transError.mean.mean
0.137505066747,0.616674277778
0.112870781893,0.513207166667
0.113226954911,0.511799
0.15823892784,0.347489733333
0.220862517752,0.178033842105
0.289813254238,0.111519571429
0.255343126462,0.135674892857
0.110396908215,0.567853258065
0.123966518411,0.483538
0.145353392472,0.364766782609
0.168397280035,0.266804521739
0.219330026797,0.136014027027
0.21036718925,0.1602634
0.207059648579,0.11330008
0.204125528772,0.120517266667
0.218161382726,0.168592444444
0.230939345144,0.1753349
0.215357473045,0.250973828571
0.133192244046,0.255138206897
0.569035593729,0.275744352941
0.112421327167,0.572332
0.189310947774,0.401876478261
0.117099210659,0.667381558824
0.160895527543,0.601016714286
0.150746564917,0.428635214286
0.125390723695,0.534300857143
0.187043352329,0.392818764706
0.184013731576,0.511895521739
0.19511088322,0.3828526
0.13865641287,0.480142294118
0.110011276684,0.200632047619
0.118473793797,0.214672086957
0.126010953526,0.310588818182
0.148732170502,0.63580396
0.0976862702812,0.357241074074
0.101913121764,0.322165133333
0.0917543071379,0.302912058824
0.102965149381,0.44758759375
0.243823786365,0.0879599565217
0.0996411169057,0.224303125
0.141536517399,0.388622
0.202768108095,0.297397730769
0.103876954315,0.663971375
0.177507132432,0.551063954545
0.177732551984,0.31300125
0.0849988140114,0.4318884
0.145123925159,0.465919793103
0.115000447066,0.471419
0.137963629888,0.317696542857
0.19029821377,0.366169390244
0.212455101814,0.301987178571
0.14158313783,0.381142583333
0.175986025184,0.2053401
0.179686344074,0.189486166667
0.150600129793,0.273704222222
0.124066045206,0.42013416
0.162656297032,0.323464547619
0.152601241746,0.429869033333
0.176734832805,0.367336428571
0.138402754199,0.283932129032
0.174127568122,0.19405875
0.211605641264,0.191225219512
0.194446635085,0.285231925926
0.207590251003,0.3031
0.124928999144,0.475740875
0.180911427975,0.236201074074
0.144827625308,0.54542925
0.216969516308,0.154262137931
0.133171073548,0.423788730769
0.131709467573,0.337108057143
0.213365923892,0.189719777778
0.162006200604,0.29107
0.192836011616,0.17891308
0.142728448751,0.367190842105

5-Fold RMSE:,0.1231682284,0.242090684421,0.137659897751,0.143407645216,0.143407645216
Average 5-Fold RMSE:,0.156495599794

5-Fold rsquared:,0.156894389035,0.278074275095,-0.0457218644999,0.238997134076,0.238997134076
Average 5-Fold rsquared:,-0.159878591961
