std_eigenvector_centrality,transError.numSamples.std
0.061688422116,5234.2224285
0.0628848579041,1068.57195671
0.0735873626594,257.853455343
0.122421627337,141.850142792
0.100010706049,182.929460449
0.0665140899304,3510.04999446
0.0499869171086,3935.77212331
0.0583048887054,4927.43898941
0.0772599538281,363.803157271
0.092355006202,147.306005198
0.0942375781658,2626.374729
0.107306514034,108.084781537
0.107707055274,1084.0791156
0.0906409739223,183.153742003
0.104297507721,273.731419461
0.115439442184,642.991734482
0.0650409083878,736.775631788
0.0583229555488,1510.28589149
0.0594842394656,14727.7449601
0.0788215763143,2308.33572565
0.0480134270942,9784.61316845
0.0633224148962,8108.00744572
0.0695045297866,2866.01159506
0.0539293297254,25803.4507764
0.0795172592942,2219.38941949
0.0794001997108,8919.29941979
0.103601683322,1725.55951023
0.0621418524861,3228.66340734
0.0664741323194,308.046732032
0.0586477113224,701.623265043
0.0588844988291,12253.024445
0.0718074587629,5103.87888822
0.0433166383751,12190.977691
0.0480981747221,10206.0904135
0.0571208297746,1947.88730019
0.0527148108833,4006.02426321
0.108039224395,189.939449112
0.0670363744304,338.663728636
0.064562611159,4015.83521781
0.095602752891,968.189122803
0.0559140808964,5532.41528027
0.057696329759,1328.17120275
0.0863325328339,4913.35122961
0.0684244190537,897.213776087
0.0595416486538,12782.2996962
0.0570370754118,15884.6134701
0.0701124270704,3217.32940007
0.0655147896749,4350.15152402
0.0741480740915,1687.4634671
0.0598781678858,2927.87105563
0.0814587853061,383.599850828
0.0716576654504,379.749169978
0.0817727657324,1917.94562562
0.0609360751897,2174.75877982
0.0756944120562,1102.42140417
0.0625710750276,2925.49410622
0.0778171239841,3355.85891523
0.071506866971,490.102011085
0.0754874067928,175.644666554
0.0768360610148,473.088895362
0.183177866246,617.028443908
0.0882860014571,1136.24840985
0.0623255741929,4289.42952164
0.0811425974437,803.781894131
0.063736397957,1881.63948857
0.0876523795269,316.936671506
0.0655788298353,2151.72678867
0.0585601819606,6754.77336762
0.0666331321729,350.849437575
0.046391247244,3895.98161441
0.0702204048489,9293.22106863
0.0626679442345,257.78020405
0.0665682795308,1433.91482635
0.0393741635952,4998.19879432
