entropy,transError.std.std
0.3221447186,0.226872799473
0.470907976972,0.0888341978949
0.523778963834,0.0536568207547
0.395497312924,0.0531756045959
0.328353771228,0.0388866547706
0.29333028783,0.156091446153
0.370370404356,0.204774691356
0.274988878465,0.189473879231
0.206876229631,0.0429963941514
0.538030318706,0.0500640527086
0.295756027505,0.160692173355
0.380368228615,0.0364422115207
0.382280806687,0.115579807708
0.479363399065,0.0365550743802
0.348905806613,0.0491585794691
0.333070872241,0.0890782760547
0.254912011889,0.0933187599678
0.55908348168,0.138087316178
0.308572760262,0.258353516079
0.318539406313,0.0779121061829
0.277888866018,0.259494989064
0.284676724208,0.214149069586
0.297507395277,0.160472378798
0.204850511929,0.578481679757
0.234452734746,0.14193715639
0.306951959387,0.390698889866
0.335083355922,0.145785206544
0.446540182952,0.196101691352
0.505791691597,0.0540020208264
0.510763420494,0.0639730578518
0.329875981726,0.0642383791162
0.39131588904,0.258741211908
0.756474176243,0.131888311652
0.636473091808,0.126072926139
0.607846472941,0.124697260981
0.568528908897,0.192108034661
0.558090194533,0.0517409309399
0.398900389202,0.150426578073
0.51387932211,0.141387393986
0.393196937981,0.0819226964463
0.484828329434,0.284322556163
0.37395692585,0.268748777682
0.410231936509,0.0698040570684
0.326105044278,0.0777311359681
0.521749511142,0.221015525555
0.405325651205,0.170190402896
0.333393618806,0.10685390071
0.437642046974,0.237490765274
0.329219680936,0.110170635227
0.255193614573,0.172007018126
0.291600149817,0.0621497895481
0.360445393349,0.110615023941
0.50107086266,0.126944549297
0.527835552252,0.109794391941
0.380530385989,0.0809823194632
0.529081411403,0.12386252947
0.450537965723,0.0966363792344
0.442437535411,0.064450068138
0.423383015861,0.0692099506632
0.454458774711,0.075847820682
0.433576786625,0.113532147819
0.488364877974,0.129796983767
0.554227610854,0.192206970562
0.438986776868,0.105334107197
0.472547868952,0.145524364411
0.464185790183,0.0596299714663
0.557906180205,0.130217601143
0.63559816881,0.0974594238893
0.482066878387,0.0743403423368
0.568207500774,0.167837658831
0.452134192471,0.168709916846
0.553248122712,0.0562958637779
0.313819750698,0.116143743091
0.687950739326,0.206076064429

5-Fold RMSE:,0.0781594354049,0.0781774285608,0.0528627489132,0.13343624106,0.13343624106
Average 5-Fold RMSE:,0.0864614929447

5-Fold rsquared:,0.0306932876906,-0.054934185377,-0.146993458614,-0.565869239606,-0.565869239606
Average 5-Fold rsquared:,-0.134716853743
