perimeter,transError.std.std
919.385854688,0.226872799473
845.094809668,0.0888341978949
400.830204991,0.0536568207547
104.798400009,0.0531756045959
297.255462487,0.0388866547706
175.184877189,0.156091446153
975.710287307,0.204774691356
661.864870045,0.189473879231
461.959330453,0.0429963941514
301.700928702,0.0500640527086
395.362041332,0.160692173355
266.76921056,0.0364422115207
190.183623926,0.115579807708
384.28900186,0.0365550743802
169.305586218,0.0491585794691
547.895428741,0.0890782760547
663.883925852,0.0933187599678
569.465956684,0.138087316178
277.253593842,0.258353516079
186.385475943,0.0779121061829
266.853191731,0.259494989064
251.520417083,0.214149069586
217.978099666,0.160472378798
413.568733758,0.578481679757
161.46910584,0.14193715639
333.320883456,0.390698889866
348.726342602,0.145785206544
582.414195881,0.196101691352
416.287346717,0.0540020208264
602.450956601,0.0639730578518
625.529006956,0.0642383791162
1411.67024864,0.258741211908
687.006424965,0.131888311652
804.802666284,0.126072926139
325.157616123,0.124697260981
394.105092531,0.192108034661
254.907573617,0.0517409309399
512.058047582,0.150426578073
574.390274931,0.141387393986
577.749460923,0.0819226964463
462.202334131,0.284322556163
542.151199633,0.268748777682
607.353417602,0.0698040570684
895.078361009,0.0777311359681
810.652971073,0.221015525555
791.247099826,0.170190402896
523.504495381,0.10685390071
642.501394841,0.237490765274
438.695516966,0.110170635227
921.061208435,0.172007018126
425.51985706,0.0621497895481
383.553654629,0.110615023941
611.004216827,0.126944549297
1094.05395026,0.109794391941
396.724658884,0.0809823194632
623.982104305,0.12386252947
673.355919531,0.0966363792344
614.642509546,0.064450068138
383.053807066,0.0692099506632
377.554649486,0.075847820682
798.372831181,0.113532147819
541.589338691,0.129796983767
479.641424654,0.192206970562
562.534496366,0.105334107197
398.050280897,0.145524364411
346.945664463,0.0596299714663
629.847164937,0.130217601143
243.197749682,0.0974594238893
431.988152916,0.0743403423368
476.307895935,0.167837658831
609.954365264,0.168709916846
446.124179764,0.0562958637779
1033.37498647,0.116143743091
383.710764507,0.206076064429

5-Fold RMSE:,0.0520918574289,0.0944139658191,0.0594950867938,0.138032344147,0.138032344147
Average 5-Fold RMSE:,0.0811924968892

5-Fold rsquared:,0.0760899524597,-0.414391253382,-0.219798290641,-0.0719053258068,-0.0719053258068
Average 5-Fold rsquared:,-0.178948751301
