perimeter,rotError.std.mean
919.385854688,0.0134886818182
845.094809668,0.00848306666667
400.830204991,0.00990715789474
104.798400009,0.00666489285714
297.255462487,0.00854714285714
175.184877189,0.0154531111111
975.710287307,0.0139629166667
661.864870045,0.0142382727273
461.959330453,0.00927660869565
301.700928702,0.00886394594595
395.362041332,0.0103236571429
266.76921056,0.00831244
190.183623926,0.0120980666667
384.28900186,0.00902981081081
169.305586218,0.0070672
547.895428741,0.00862697142857
663.883925852,0.0107663448276
569.465956684,0.0146358235294
277.253593842,0.0153069130435
186.385475943,0.00836128571429
266.853191731,0.0141560606061
251.520417083,0.0130143076923
217.978099666,0.0213154358974
413.568733758,0.0118386923077
161.46910584,0.0129007
333.320883456,0.0117434782609
348.726342602,0.0171069
582.414195881,0.0201348076923
416.287346717,0.00883107692308
602.450956601,0.00979857575758
625.529006956,0.0108434193548
1411.67024864,0.01273672
687.006424965,0.0201676538462
804.802666284,0.0242387692308
325.157616123,0.0134642666667
394.105092531,0.0164263142857
254.907573617,0.008347
512.058047582,0.0136369583333
574.390274931,0.0145126
577.749460923,0.0110901538462
462.202334131,0.0162626538462
542.151199633,0.0139900769231
607.353417602,0.0113885652174
895.078361009,0.00808025641026
810.652971073,0.0127977692308
791.247099826,0.0142507037037
523.504495381,0.0175852258065
642.501394841,0.0131790810811
438.695516966,0.0140931785714
921.061208435,0.013008
425.51985706,0.0124418666667
383.553654629,0.01217428
611.004216827,0.0113095
1094.05395026,0.01085984
396.724658884,0.013217275
623.982104305,0.0138498148148
673.355919531,0.00906033333333
614.642509546,0.0113865483871
383.053807066,0.01360234375
377.554649486,0.0114615121951
798.372831181,0.00809121428571
541.589338691,0.0116139666667
479.641424654,0.0140091666667
562.534496366,0.0103575555556
398.050280897,0.0173899090909
346.945664463,0.0105403103448
629.847164937,0.0152154583333
243.197749682,0.00999909375
431.988152916,0.00975977777778
476.307895935,0.0581752916667
609.954365264,0.00897219230769
446.124179764,0.00749868
1033.37498647,0.00801097368421
383.710764507,0.0207175

5-Fold RMSE:,0.00284675052439,0.00280267034604,0.00409598678722,0.0123299268145,0.0123299268145
Average 5-Fold RMSE:,0.0053771391543

5-Fold rsquared:,-0.0452178088888,-0.0692413867268,-0.0662432348453,-1.00906570984,-1.00906570984
Average 5-Fold rsquared:,-0.250469191051
