topology_edges,transError.mean.mean
54,0.616674277778
48,0.513207166667
48,0.511799
32,0.347489733333
13,0.178033842105
10,0.111519571429
12,0.135674892857
63,0.567853258065
43,0.483538
26,0.364766782609
23,0.266804521739
14,0.136014027027
16,0.1602634
15,0.11330008
22,0.120517266667
19,0.168592444444
18,0.1753349
15,0.250973828571
30,0.255138206897
2,0.275744352941
67,0.572332
21,0.401876478261
49,0.667381558824
32,0.601016714286
41,0.428635214286
37,0.534300857143
18,0.392818764706
19,0.511895521739
18,0.3828526
36,0.480142294118
42,0.200632047619
46,0.214672086957
39,0.310588818182
24,0.63580396
90,0.357241074074
57,0.322165133333
57,0.302912058824
63,0.44758759375
13,0.0879599565217
47,0.224303125
35,0.388622
16,0.297397730769
51,0.663971375
23,0.551063954545
23,0.31300125
59,0.4318884
30,0.465919793103
50,0.471419
29,0.317696542857
19,0.366169390244
18,0.301987178571
32,0.381142583333
20,0.2053401
21,0.189486166667
26,0.273704222222
43,0.42013416
25,0.323464547619
26,0.429869033333
20,0.367336428571
31,0.283932129032
22,0.19405875
15,0.191225219512
18,0.285231925926
16,0.3031
37,0.475740875
20,0.236201074074
35,0.54542925
17,0.154262137931
39,0.423788730769
46,0.337108057143
17,0.189719777778
27,0.29107
21,0.17891308
35,0.367190842105

5-Fold RMSE:,0.127860495081,0.114682699336,0.152757311423,0.141452109324,0.141452109324
Average 5-Fold RMSE:,0.127559721672

5-Fold rsquared:,0.393886814982,0.508914653883,0.123096166686,0.0427728585229,0.0427728585229
Average 5-Fold rsquared:,0.270146453219
