voronoi_avg_closeness_centrality,transError.numSamples.std
0.0829681026723,4496.65449768
0.0792384190845,1068.57195671
0.0798824288546,257.853455343
0.178437489832,141.850142792
0.111079156429,182.929460449
0.0829357773374,2244.05747734
0.0635474330535,3935.77212331
0.0627819242078,2874.5710625
0.070759448798,363.803157271
0.0847485271117,147.306005198
0.0911718928997,2626.374729
0.121065388922,108.084781537
0.120524288794,1084.0791156
0.0966926435271,180.818284498
0.130293676296,273.731419461
0.119034100862,642.991734482
0.0633096270436,702.453163625
0.0716879263894,1510.28589149
0.0626132509807,14872.7918784
0.0884732603304,720.79837633
0.0418780662733,9225.92445392
0.0745168063384,3023.39259484
0.108537964332,2651.41884337
0.0689598898793,24043.8800652
0.12870857214,1616.41335473
0.0852834013798,8919.29941979
0.126092060057,1725.55951023
0.0607268432365,1863.36560045
0.0613436786713,624.17813537
0.0713487155756,620.469279434
0.0716179077184,857.003410118
0.0677186188063,5103.87888822
0.0583282349173,1966.19530209
0.0511601522691,1057.23261059
0.0630304264848,1483.83345876
0.0576403296223,3961.17166175
0.134849739205,165.786311893
0.0787934053944,2139.14201672
0.0784116989904,1428.99660238
0.10438803755,968.189122803
0.0621938106869,5433.37490878
0.0459685102702,3842.62601996
0.0833470642953,1817.05743137
0.0668233399598,691.528513091
0.0674685943723,8506.08116752
0.066160655136,3722.68290681
0.086124372711,1936.04140841
0.0670963269855,4393.41939757
0.0860557798913,1687.4634671
0.0743900151433,2072.14962693
0.0848779173114,383.599850828
0.0957811074698,786.667567909
0.0804055982337,1917.94562562
0.0602154793258,2174.75877982
0.0849009471958,748.389444073
0.0764866089586,2608.69783514
0.0838354988579,1354.24201138
0.0620173042545,490.102011085
0.0854679083625,432.474999277
0.089826724729,473.088895362
0.276990231888,597.094712473
0.0799232574825,1136.24840985
0.0653665559372,3100.93252085
0.0828839962515,803.781894131
0.0752682157962,1700.53022844
0.105127732991,316.936671506
0.0763646154256,2065.32399555
0.0824425675438,1024.40711512
0.0764803546915,350.849437575
0.0502815796087,3504.51641908
0.0840568168315,2631.23148885
0.0692964768629,257.78020405
0.0778106496485,1433.91482635
0.047644843881,4268.01882728

5-Fold RMSE:,1607.20462372,1375.46038776,2602.02250841,6737.28635136,6737.28635136
Average 5-Fold RMSE:,2991.10347788

5-Fold rsquared:,-0.00362839147432,-0.0355635522457,-0.0392334773569,-0.250447686942,-0.250447686942
Average 5-Fold rsquared:,-0.0594029123726
