radius,transError.mean.std
14,0.145382176939
18,0.0626106276575
15,0.0363222141704
6,0.0240230927776
11,0.0231752964896
19,0.244942705536
20,0.118403445404
19,0.25684750383
20,0.0468835943002
16,0.0525575836354
14,0.0652650350355
10,0.0380406378831
10,0.048698079138
13,0.0471928668924
9,0.015699391456
10,0.0795487657361
20,0.0564341131084
19,0.0634488000674
21,0.157331633444
16,0.225853461955
40,0.120880204555
22,0.192289958812
11,0.0925116985357
16,0.182870156349
9,0.150862439925
14,0.113382526137
12,0.0940625752148
23,0.228409668405
22,0.0484971177734
19,0.0700468458533
17,0.287812908678
18,0.109859637786
23,0.30823195051
28,0.251954545215
21,0.158847840005
22,0.112238353718
8,0.0402882774962
17,0.0467955533351
18,0.1264444763
12,0.0703616797672
20,0.114763250904
26,0.0896356459078
17,0.185040710074
22,0.14370205831
20,0.281651273406
20,0.217198105027
14,0.0868164172079
20,0.121972989288
14,0.0844506183324
16,0.112880779061
16,0.0478290808047
12,0.0419657032537
17,0.063039235743
23,0.0862053699096
18,0.123650418782
16,0.166220167829
14,0.205108169667
23,0.067525357097
15,0.0423677614464
14,0.0754858045801
4,0.0677220225742
16,0.06593977187
19,0.17018166168
14,0.060063217006
19,0.14039673261
13,0.0600886637503
18,0.141798879212
15,0.313625308616
18,0.0554747715395
29,0.114621750347
16,0.22720282762
20,0.0490437767207
15,0.0852449136299
27,0.138300771799
