voronoi_avg_closeness_centrality,rotError.numSamples.std
0.047644843881,4574.73377354
0.0502815796087,3504.51641908
0.0829681026723,4516.12281977
0.0792384190845,1068.57195671
0.0798824288546,257.853455343
0.178437489832,141.850142792
0.111079156429,182.929460449
0.0829357773374,3510.04999446
0.0635474330535,3935.77212331
0.0627819242078,4927.43898941
0.070759448798,363.803157271
0.0847485271117,147.306005198
0.0911718928997,2626.374729
0.121065388922,108.084781537
0.120524288794,1084.0791156
0.0966926435271,183.153742003
0.130293676296,273.731419461
0.119034100862,642.991734482
0.0633096270436,702.453163625
0.0716879263894,1510.28589149
0.0626132509807,14727.7449601
0.0884732603304,2308.33572565
0.0418780662733,15286.2712796
0.0745168063384,8108.00744572
0.108537964332,2866.01159506
0.0689598898793,24073.9681947
0.12870857214,2219.38941949
0.0852834013798,8919.29941979
0.126092060057,1725.55951023
0.0607268432365,3228.66340734
0.0613436786713,308.046732032
0.0713487155756,701.623265043
0.0716179077184,12253.024445
0.0677186188063,5103.87888822
0.0583282349173,12190.977691
0.0511601522691,10206.0904135
0.0630304264848,1947.88730019
0.0576403296223,4006.02426321
0.134849739205,189.939449112
0.0787934053944,2139.14201672
0.0784116989904,4015.83521781
0.10438803755,968.189122803
0.0621938106869,5532.41528027
0.0459685102702,1328.17120275
0.0833470642953,4913.35122961
0.0668233399598,897.213776087
0.0674685943723,12782.2996962
0.066160655136,15884.6134701
0.086124372711,3217.32940007
0.0670963269855,4350.15152402
0.0860557798913,1687.4634671
0.0743900151433,2072.14962693
0.0848779173114,383.599850828
0.0957811074698,2014.30380687
0.0804055982337,1917.94562562
0.0602154793258,2174.75877982
0.0849009471958,1102.42140417
0.0764866089586,2925.49410622
0.0838354988579,3355.85891523
0.0620173042545,490.102011085
0.0854679083625,432.474999277
0.089826724729,473.088895362
0.276990231888,606.727838005
0.0799232574825,1136.24840985
0.0653665559372,4289.42952164
0.0828839962515,803.781894131
0.0752682157962,1881.63948857
0.105127732991,316.936671506
0.0763646154256,2151.72678867
0.0824425675438,5518.65907301
0.0764803546915,350.849437575
0.0840568168315,9293.22106863
0.0692964768629,257.78020405
0.0778106496485,1433.91482635

5-Fold RMSE:,4081.4074802,2940.27623578,6621.85343659,4846.62407634,4846.62407634
Average 5-Fold RMSE:,4346.42422795

5-Fold rsquared:,0.079840061753,0.0521334056551,-0.121655665458,-4.51486963069,-4.51486963069
Average 5-Fold rsquared:,-0.87873352305
