topology_radius,rotError.mean.mean
4,0.00781177272727
3,0.00518106666667
3,0.00745268421053
3,0.00380332142857
1,0.00530514285714
3,0.0108654444444
3,0.0100377916667
4,0.00976259090909
3,0.00654347826087
3,0.00574740540541
3,0.0063216
3,0.00609472
3,0.00695146666667
1,0.00530697297297
2,0.00419643333333
1,0.00586774285714
4,0.0080334137931
1,0.00957582352941
3,0.0113755652174
2,0.00664728571429
3,0.00940933333333
2,0.00862580769231
2,0.0175163076923
3,0.00585915384615
2,0.0080592
2,0.00719391304348
1,0.0116620333333
4,0.0185035384615
7,0.00794823076923
4,0.00808536363636
3,0.00828783870968
4,0.0090522
5,0.0130484230769
4,0.0102915384615
4,0.0115043333333
4,0.0112823142857
2,0.00535094117647
4,0.0116517083333
4,0.00985292
2,0.00736969230769
5,0.0124235769231
3,0.0109033461538
3,0.00870517391304
6,0.00633515384615
2,0.0100060769231
4,0.00994803703704
4,0.0114515483871
2,0.00746737837838
2,0.0102650357143
4,0.0086655
2,0.0111931666667
3,0.00878128
3,0.00787177777778
4,0.0083908
3,0.013150075
4,0.0103568888889
3,0.00629451282051
5,0.0100887741935
3,0.0114415
2,0.0108286829268
3,0.00529
3,0.0074369
4,0.0108653666667
3,0.00650085185185
2,0.0107349090909
1,0.00662575862069
3,0.0108217916667
3,0.00683478125
3,0.00717885185185
3,0.0361834583333
3,0.00648584615385
3,0.00584372
3,0.0060295
4,0.0163589615385

5-Fold RMSE:,0.00784596705508,0.00237810337579,0.00266372852914,0.00352148013628,0.00352148013628
Average 5-Fold RMSE:,0.00372868485296

5-Fold rsquared:,-0.921542305133,0.0158054583717,0.0413343903318,-0.190859042536,-0.190859042536
Average 5-Fold rsquared:,-0.247181761183
