totalTime,transError.mean.std
7739.04545455,0.128810550931
5871.41333333,0.0626106276575
2281.97894737,0.0363222141704
1354.59642857,0.0240230927776
1659.58214286,0.0231752964896
5185.57037037,0.12471567563
5477.86666667,0.118403445404
3478.16818182,0.105974371826
2830.96086957,0.0468835943002
1745.23513514,0.0525575836354
2208.06285714,0.0652650350355
1662.192,0.0380406378831
1609.00666667,0.048698079138
2120.34594595,0.0465531383268
2048.65333333,0.015699391456
3052.23428571,0.0795487657361
3764.16896552,0.0609893108178
3581.27058824,0.0634488000674
7070.53478261,0.121656676099
4370.66666667,0.108765944747
9172.43333333,0.116482183881
9147.29230769,0.123971354033
2876.39487179,0.117014135854
10577.6692308,0.093854286797
5200.37,0.0949115380575
6047.27826087,0.113382526137
3020.41666667,0.0940625752148
3045.04117647,0.133346320244
2454.26153846,0.0476951664389
2699.92727273,0.0815122877936
3264.42903226,0.0482871281887
5479.196,0.109859637786
4427.51923077,0.0815752280843
3802.08461538,0.0639775660122
3494.89333333,0.0654884840604
6018.93823529,0.122991442932
1558.62647059,0.0344430098623
3136.37916667,0.0825251437691
3815.912,0.0787229033116
2507.84230769,0.0703616797672
8208.764,0.126450031359
5026.896,0.123275913417
2862.13043478,0.0638479804609
3938.79487179,0.0832238780337
5791.23846154,0.112655965246
5879.612,0.0683094603182
2866.03870968,0.0630703094014
5106.66388889,0.0851137154946
2649.53928571,0.0844506183324
7307.11666667,0.0812632064472
2228.52666667,0.0478290808047
2098.088,0.0665534059179
3423.01111111,0.063039235743
6119.592,0.0862053699096
2410.93333333,0.0945236490945
4412.42962963,0.0936298052555
3693.98717949,0.083845172989
3426.39032258,0.067525357097
2034.859375,0.0711609699581
1896.65609756,0.0754858045801
4133.45185185,0.0664587250454
2596.04,0.06593977187
5131.46666667,0.119219125795
2637.14444444,0.060063217006
5495.39090909,0.0967598598958
1954.06206897,0.0600886637503
4150.80833333,0.103345628507
3693.959375,0.0960266591481
2386.22592593,0.0554747715395
7180.75,0.117509395197
2941.61538462,0.0976733690521
2600.284,0.0490437767207
5058.65263158,0.0852449136299
7318.78076923,0.18024925237

5-Fold RMSE:,0.0226762767323,0.0256844254227,0.0139762821565,0.0301738898684,0.0301738898684
Average 5-Fold RMSE:,0.0225075237971

5-Fold rsquared:,0.0988858872279,0.222811949702,0.529358208336,0.0810572776773,0.0810572776773
Average 5-Fold rsquared:,0.34242090855
