totalLength,rotError.mean.std
3674.54685049,0.00331315133626
2587.25446388,0.000529720236435
409.860183458,0.00274200687267
252.832909534,0.000868010041646
326.784256607,0.000988470995105
1921.35516902,0.00429956664055
2116.13492361,0.00305267434636
863.659269329,0.00325076749757
845.090021745,0.00162224709611
295.419139725,0.00122251686463
506.321896435,0.00481593435646
273.457946693,0.00139556645188
192.066214539,0.00295561424787
468.518403292,0.00086073843683
580.535894357,0.00087903722649
971.378772283,0.00234359606884
1560.66008532,0.00188456667166
1049.93660782,0.00475371639426
3024.90660293,0.00397965134483
1742.8522031,0.00194485015484
3575.26025392,0.0029966941151
4286.82971454,0.00728678377751
711.361982324,0.0240067761271
4268.08811365,0.00627694262703
2215.28095863,0.00364257671701
2674.03601278,0.00193137045088
889.381270016,0.00350567334933
994.439580994,0.011540864302
566.001197687,0.00169851493892
713.219408102,0.00387832424544
1004.70151857,0.018982936371
2298.96506651,0.00268365863701
1290.05514031,0.00951347370549
1093.26611061,0.0113683540574
1073.65959346,0.0102189055546
2379.8461839,0.00279617073466
207.214315708,0.00119649202124
771.205630617,0.00356308331189
1344.58232881,0.00435481252733
876.168728003,0.00284573492967
3949.82841384,0.00405173873492
1857.94252615,0.00258198449888
888.639718829,0.00935193660277
1481.43084603,0.00120964368307
2298.11261206,0.00544625576124
2193.73950998,0.0122018643728
786.593346386,0.00687929093309
2003.81513074,0.00319700990545
637.726898906,0.00317220657184
3079.17730674,0.00270284127902
500.537324732,0.00283126115696
616.55068905,0.00237693489734
1035.09066139,0.00169591170353
2396.14078511,0.00167382816322
577.123513651,0.00464877681209
1415.71363081,0.00631663664558
1392.02208715,0.00267358431567
972.933103525,0.00290650421563
489.59582335,0.00632801513764
382.17641299,0.00633767378436
1749.99175816,0.000912842598408
916.588301973,0.00296056940863
2114.07410152,0.00514108200771
891.481124196,0.0018376947053
2342.27101469,0.00559589829449
330.137152444,0.0018378217927
1479.91948991,0.00470429841354
1173.44602032,0.00708596426669
602.963843177,0.00290145318257
3519.11086095,0.00205404963873
1016.39541288,0.0102512932546
693.217716208,0.00140772643706
2034.8306002,0.00163527502515
2694.36835452,0.0038489765622
