topology_nodes,rotError.numSamples.mean
35,8502.88888889
42,4291.20833333
41,5073.26086957
25,2208.2
13,533.736842105
10,281.035714286
12,375.75
47,3820.06451613
38,4729.04166667
24,3357.30434783
19,1109.95652174
15,244.540540541
17,830.8
15,180.0
16,450.733333333
16,457.388888889
15,628.1
16,954.971428571
25,914.034482759
3,2059.76470588
47,8900.875
19,2142.7826087
43,9951.88235294
26,5881.21428571
29,3028.03571429
34,12817.0714286
19,2496.67647059
20,8121.34782609
19,2459.1
30,3998.88235294
37,716.857142857
37,843.47826087
35,3702.36363636
25,6648.12
63,4365.44444444
46,4280.06666667
48,1701.35294118
52,3879.09375
13,189.695652174
40,1054.375
32,2765.85185185
17,1206.76923077
42,6532.5
23,3173.27272727
21,2456.83333333
46,2281.8
30,6061.31034483
40,8307.2
27,2598.6
19,3927.24390244
16,1492.89285714
27,3379.41666667
21,655.766666667
20,964.583333333
23,1611.27777778
38,3842.36
24,1384.0
25,3280.36666667
20,2484.47619048
30,1119.77419355
22,581.0
16,510.341463415
19,1274.18518519
17,1420.46666667
35,4234.0625
21,754.666666667
30,3208.20833333
16,407.793103448
37,2487.5
35,2474.48571429
16,609.074074074
24,2976.25
19,461.08
30,1971.81578947

5-Fold RMSE:,1819.49235853,1783.34288692,3254.84214301,2639.48444232,2639.48444232
Average 5-Fold RMSE:,2240.57471185

5-Fold rsquared:,0.0222683999151,-0.0209614460343,-0.16074548121,0.311491848202,0.311491848202
Average 5-Fold rsquared:,0.0284298541958
