numBifurcationPoints,transError.mean.std
131,0.145382176939
162,0.0626106276575
88,0.0363222141704
28,0.0240230927776
44,0.0231752964896
93,0.244942705536
197,0.118403445404
146,0.25684750383
85,0.0468835943002
52,0.0525575836354
48,0.0652650350355
39,0.0380406378831
38,0.048698079138
52,0.0471928668924
41,0.015699391456
32,0.0795487657361
114,0.0564341131084
145,0.0634488000674
119,0.157331633444
68,0.225853461955
195,0.120880204555
107,0.192289958812
98,0.0925116985357
126,0.182870156349
66,0.150862439925
58,0.113382526137
41,0.0940625752148
125,0.228409668405
107,0.0484971177734
145,0.0700468458533
141,0.287812908678
92,0.109859637786
268,0.30823195051
214,0.251954545215
145,0.158847840005
178,0.112238353718
36,0.0402882774962
104,0.0467955533351
117,0.1264444763
49,0.0703616797672
160,0.114763250904
159,0.0896356459078
62,0.185040710074
102,0.14370205831
137,0.281651273406
155,0.217198105027
94,0.0868164172079
135,0.121972989288
84,0.0844506183324
144,0.112880779061
67,0.0478290808047
90,0.0419657032537
71,0.063039235743
126,0.0862053699096
81,0.123650418782
134,0.166220167829
82,0.205108169667
94,0.067525357097
80,0.0423677614464
74,0.0754858045801
13,0.0677220225742
58,0.06593977187
123,0.17018166168
65,0.060063217006
121,0.14039673261
60,0.0600886637503
111,0.141798879212
148,0.313625308616
101,0.0554747715395
228,0.114621750347
93,0.22720282762
119,0.0490437767207
112,0.0852449136299
324,0.138300771799
