traversalTime,transError.numSamples.std
2035.82864252,4574.73377354
2080.31115619,3504.51641908
1349.09985599,4516.12281977
919.718726924,1068.57195671
419.663612797,257.853455343
211.703543676,141.850142792
265.490773911,182.929460449
1173.06783952,3510.04999446
1490.99507567,3935.77212331
841.175649661,4927.43898941
512.459790786,363.803157271
183.023661923,147.306005198
288.952643527,2626.374729
191.014634059,108.084781537
162.313862645,1084.0791156
384.763332574,183.153742003
546.868433022,273.731419461
384.284799509,642.991734482
1093.28515564,702.453163625
823.369821087,1510.28589149
1603.67256076,14727.7449601
726.421235223,2308.33572565
1455.54715772,15286.2712796
1342.9430314,8108.00744572
608.712541442,2866.01159506
1371.34741951,24073.9681947
550.763056801,2219.38941949
1001.59400158,8919.29941979
498.802202458,1725.55951023
951.22385554,3228.66340734
633.149187702,308.046732032
808.608614515,701.623265043
897.190026783,12253.024445
1578.35836762,5103.87888822
918.534020399,12190.977691
1008.03211816,10206.0904135
870.931728251,1947.88730019
1371.33686714,4006.02426321
274.928270325,189.939449112
658.752298095,2139.14201672
750.178214424,4015.83521781
510.678711028,968.189122803
1567.27616653,5532.41528027
1367.57529848,1328.17120275
492.886623007,4913.35122961
740.557101864,897.213776087
1069.35769226,12782.2996962
1006.22432177,15884.6134701
520.067365763,3217.32940007
717.088483789,4350.15152402
354.772213719,1687.4634671
1193.67522752,2072.14962693
439.245777626,383.599850828
431.491340742,2014.30380687
425.603880936,1917.94562562
1025.57459113,2174.75877982
589.758911653,1102.42140417
656.952316561,2925.49410622
754.01694709,3355.85891523
699.590611899,490.102011085
484.299613589,432.474999277
339.901939934,473.088895362
205.223499199,606.727838005
609.45010448,1136.24840985
1187.28583886,4289.42952164
639.103357547,803.781894131
874.938568522,1881.63948857
285.340344762,316.936671506
870.904226907,2151.72678867
731.103227949,5518.65907301
618.684245989,350.849437575
786.534337607,9293.22106863
653.648966259,257.78020405
1138.67499527,1433.91482635

5-Fold RMSE:,3530.55189233,3708.16001887,4397.09253305,5579.14675013,5579.14675013
Average 5-Fold RMSE:,3892.678914

5-Fold rsquared:,-0.632306027037,0.227681729355,-0.794613094311,0.357073550025,0.357073550025
Average 5-Fold rsquared:,-0.110613327656
